# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.67,
1.0,1.77,
2.0,1.86,
3.0,1.93,
4.0,1.95,
5.0,1.95,
6.0,1.95,
7.0,2.1,
8.0,2.17,
9.0,2.24,
10.0,2.25,
11.0,2.25,
12.0,2.27,
13.0,2.33,
14.0,2.33,
15.0,2.62,
16.0,2.64,
17.0,3.08,
18.0,2.82,
19.0,2.79,
20.0,2.34,
21.0,2.35,
22.0,2.34,
23.0,2.35,
24.0,2.34,
25.0,2.36,
26.0,2.38,
27.0,4.03,
28.0,5.21,
29.0,5.25,
30.0,5.32,
31.0,5.21,
32.0,5.24,
33.0,5.16,
34.0,5.17,
35.0,5.16,
36.0,5.17,
37.0,5.22,
38.0,5.18,
39.0,5.19,
40.0,5.2,
41.0,5.21,
42.0,5.26,
43.0,5.33,
44.0,5.27,
45.0,5.22,
46.0,5.21,
47.0,5.21,
48.0,5.22,
49.0,5.2,
50.0,5.22,
51.0,5.21,
52.0,5.27,
53.0,5.27,
54.0,5.28,
55.0,5.28,
56.0,5.28,
57.0,5.28,
58.0,5.29,
59.0,5.28,
60.0,5.27,
61.0,5.28,
62.0,5.31,
63.0,5.32,
64.0,5.3,
65.0,5.32,
66.0,5.28,
67.0,5.4,
68.0,5.33,
69.0,5.33,
70.0,5.34,
71.0,5.29,
72.0,5.36,
73.0,5.37,
74.0,5.38,
75.0,5.4,
76.0,5.38,
77.0,5.39,
78.0,5.4,
79.0,5.37,
80.0,5.41,
81.0,5.41,
82.0,5.38,
83.0,5.39,
84.0,5.38,
85.0,5.41,
86.0,5.41,
87.0,5.4,
88.0,5.4,
89.0,5.4,
90.0,5.39,
91.0,5.39,
92.0,5.38,
93.0,5.4,
94.0,5.4,
95.0,5.37,
96.0,5.37,
97.0,5.37,
98.1,5.38,
99.1,5.39,
100.1,5.41,
101.1,5.38,
102.1,5.38,
103.1,5.49,
104.1,5.41,
105.1,5.35,
106.1,5.41,
107.1,5.38,
108.1,5.42,
109.1,5.39,
110.1,5.41,
111.1,5.44,
112.1,5.4,
113.1,5.45,
114.1,5.43,
115.1,5.44,
116.1,5.44,
117.1,5.46,
118.1,5.43,
119.1,5.44,
120.1,5.45,
121.1,5.45,
122.1,5.46,
123.1,5.45,
124.1,5.46,
125.1,5.48,
126.1,5.47,
127.1,5.48,
128.1,5.47,
129.1,5.48,
130.1,5.48,
131.1,5.48,
132.1,5.5,
133.1,5.57,
134.1,5.48,
135.1,5.49,
136.1,5.52,
137.1,5.54,
138.1,5.53,
139.1,5.5,
140.1,5.5,
141.1,5.52,
142.1,5.51,
143.1,5.53,
144.1,5.49,
145.1,5.52,
146.1,5.5,
147.1,5.49,
148.1,5.57,
149.1,5.49,
150.1,5.48,
151.1,5.52,
152.1,5.51,
153.1,5.51,
154.1,5.47,
155.1,5.51,
156.1,5.49,
157.1,5.48,
158.1,5.51,
159.1,5.52,
160.1,5.48,
161.1,5.49,
162.1,5.56,
163.1,5.5,
164.1,5.51,
165.1,5.51,
166.1,5.52,
167.1,5.49,
168.1,5.5,
169.1,5.53,
170.1,5.58,
171.1,5.58,
172.1,5.57,
173.1,5.56,
174.1,5.57,
175.1,5.6,
176.1,5.57,
177.1,5.52,
178.1,5.57,
179.1,5.65,
180.1,5.57,
181.1,5.56,
182.1,5.57,
183.1,5.6,
184.1,5.6,
185.1,5.57,
186.1,5.58,
187.1,5.59,
188.1,5.56,
189.1,5.58,
190.1,5.59,
191.1,5.54,
192.1,5.56,
193.1,5.52,
194.1,5.57,
195.1,5.55,
196.1,5.55,
197.1,5.56,
198.1,5.55,
199.1,5.59,
200.1,5.68,
201.1,5.58,
202.1,5.59,
203.1,5.58,
204.1,5.6,
205.1,5.58,
206.1,5.6,
207.1,5.67,
208.1,5.61,
209.1,5.62,
210.1,5.62,
211.1,5.62,
212.1,5.63,
213.1,5.62,
214.1,5.33,
215.1,5.33,
216.1,5.31,
217.1,5.31,
218.1,5.31,
219.1,5.59,
220.1,5.92,
221.1,6.04,
222.1,5.94,
223.1,6.04,
224.1,6.07,
225.1,6.14,
226.1,6.13,
227.1,6.29,
228.1,6.18,
229.1,6.25,
230.1,6.44,
231.1,6.63,
232.1,6.42,
233.1,6.49,
234.1,6.85,
235.1,6.93,
236.1,6.83,
237.1,6.93,
238.1,6.72,
239.1,7.12,
240.1,7.93,
241.1,7.5,
242.1,7.07,
243.1,7.15,
244.1,7.22,
245.1,7.3,
246.1,7.36,
247.1,7.45,
248.1,7.51,
249.1,7.57,
250.1,7.63,
251.1,7.14,
252.1,7.22,
253.1,7.28,
254.1,7.36,
255.1,7.43,
256.1,7.51,
257.1,7.58,
258.1,7.63,
259.1,7.53,
260.1,8.82,
261.1,9.0,
262.1,9.21,
263.1,9.31,
264.1,9.31,
265.1,9.31,
266.1,9.31,
267.1,9.32,
268.1,8.79,
269.1,8.96,
270.1,9.13,
271.1,9.28,
272.1,9.3,
273.1,9.32,
274.1,9.32,
275.1,9.33,
276.1,9.32,
277.1,8.23,
278.1,7.17,
279.1,7.35,
280.1,7.42,
281.1,7.42,
282.1,7.19,
283.1,8.02,
284.1,9.31,
285.1,9.77,
286.1,8.81,
287.1,9.0,
288.1,6.85,
289.1,6.72,
290.1,6.79,
291.1,6.8,
292.1,6.88,
293.1,7.09,
294.1,7.67,
295.1,7.43,
296.1,7.56,
297.1,7.53,
298.1,7.56,
299.1,7.51,
300.1,8.34,
301.1,8.53,
302.1,8.32,
303.1,8.49,
304.1,7.89,
305.1,7.79,
306.1,7.99,
307.1,7.77,
308.1,7.97,
309.1,8.3,
310.1,8.5,
311.1,8.3,
312.1,8.45,
313.1,8.39,
314.1,7.8,
315.1,7.52,
316.1,7.92,
317.1,8.11,
318.1,7.94,
319.1,7.87,
320.1,7.6,
321.1,8.08,
322.1,7.76,
323.1,8.05,
324.1,6.81,
325.1,6.82,
326.1,6.82,
327.1,6.83,
328.1,6.72,
329.1,6.77,
330.2,6.81,
331.2,6.84,
332.2,6.88,
333.2,7.1,
334.2,7.46,
335.2,7.46,
336.2,7.46,
337.2,7.46,
338.2,7.46,
339.2,7.46,
340.2,7.46,
341.2,7.45,
342.2,7.45,
343.2,7.44,
344.2,7.43,
345.2,7.37,
346.2,7.37,
347.2,7.37,
348.2,7.36,
349.2,7.36,
350.2,7.36,
351.2,7.35,
352.2,7.35,
353.2,7.35,
354.2,7.35,
355.2,7.34,
356.2,7.34,
357.2,7.34,
358.2,7.34,
359.2,7.34,
360.2,7.34,
361.2,7.34,
362.2,7.34,
363.2,7.34,
364.2,7.34,
365.2,7.34,
366.2,7.34,
367.2,7.34,
368.2,7.34,
369.2,7.34,
370.2,7.34,
371.2,7.34,
372.2,7.34,
373.2,7.34,
374.2,7.34,
375.2,7.34,
376.2,7.25,
377.2,7.25,
