# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,7.23,
1.0,7.11,
2.0,6.87,
3.0,6.89,
4.0,6.93,
5.0,6.93,
6.0,6.93,
7.0,5.7,
8.0,2.73,
9.0,2.75,
10.0,2.77,
11.0,3.02,
12.0,3.32,
13.0,3.6,
14.0,4.02,
15.0,4.34,
16.0,4.74,
17.0,5.89,
18.0,6.06,
19.0,6.06,
20.0,6.01,
21.0,6.02,
22.0,5.96,
23.0,5.94,
24.0,5.89,
25.0,5.91,
26.0,5.92,
27.0,5.85,
28.0,5.91,
29.0,5.85,
30.0,5.88,
31.0,5.81,
32.0,5.82,
33.0,5.79,
34.0,5.84,
35.0,5.78,
36.0,5.78,
37.0,5.77,
38.0,5.9,
39.0,5.91,
40.0,5.82,
41.0,5.82,
42.0,5.85,
43.0,5.83,
44.0,5.82,
45.0,5.92,
46.0,5.89,
47.0,5.86,
48.0,5.86,
49.0,5.85,
50.0,5.83,
51.0,5.87,
52.0,5.88,
53.0,5.87,
54.0,5.87,
55.0,5.86,
56.0,5.83,
57.0,5.92,
58.0,5.96,
59.0,5.87,
60.0,5.92,
61.0,5.89,
62.0,5.88,
63.0,5.88,
64.0,5.89,
65.0,5.87,
66.0,5.87,
67.0,5.95,
68.0,5.87,
69.0,5.87,
70.0,5.88,
71.0,5.88,
72.0,5.89,
73.0,5.89,
74.0,5.98,
75.0,5.89,
76.0,5.9,
77.0,5.92,
78.0,5.9,
79.0,5.87,
80.0,5.89,
81.0,5.98,
82.0,5.91,
83.0,5.92,
84.0,5.89,
85.0,5.93,
86.0,5.9,
87.0,6.02,
88.0,5.91,
89.0,5.93,
90.0,5.94,
91.0,5.92,
92.0,5.95,
93.0,5.93,
94.0,5.99,
95.0,5.95,
96.0,5.96,
97.0,5.93,
98.0,5.95,
99.0,5.99,
100.0,5.96,
101.0,5.95,
102.0,5.96,
103.0,6.02,
104.0,6.0,
105.0,5.99,
106.0,5.99,
107.0,6.0,
108.0,6.02,
109.0,6.0,
110.0,5.95,
111.0,6.0,
112.0,5.98,
113.0,5.98,
114.0,6.01,
115.1,5.99,
116.1,6.0,
117.1,5.96,
118.1,6.0,
119.1,5.98,
120.1,5.95,
121.1,5.99,
122.1,5.99,
123.1,5.97,
124.1,5.98,
125.1,5.99,
126.1,5.97,
127.1,6.01,
128.1,6.01,
129.1,6.02,
130.1,6.02,
131.1,6.06,
132.1,6.01,
133.1,6.04,
134.1,6.05,
135.1,6.07,
136.1,6.08,
137.1,6.05,
138.1,6.11,
139.1,6.0,
140.1,6.06,
141.1,6.04,
142.1,6.0,
143.1,6.04,
144.1,6.17,
145.1,6.08,
146.1,6.08,
147.1,6.08,
148.1,6.08,
149.1,6.12,
150.1,6.05,
151.1,6.06,
152.1,6.06,
153.1,6.06,
154.1,6.05,
155.1,6.08,
156.1,6.19,
157.1,6.09,
158.1,6.1,
159.1,6.13,
160.1,6.11,
161.1,6.11,
162.1,6.09,
163.1,6.17,
164.1,6.09,
165.1,6.09,
166.1,6.09,
167.1,6.08,
168.1,6.09,
169.1,6.06,
170.1,6.09,
171.1,6.19,
172.1,6.12,
173.1,6.12,
174.1,6.14,
175.1,6.14,
176.1,6.12,
177.1,6.12,
178.1,6.16,
179.1,6.13,
180.1,6.13,
181.1,6.09,
182.1,6.17,
183.1,6.11,
184.1,6.09,
185.1,6.12,
186.1,6.16,
187.1,6.16,
188.1,6.15,
189.1,6.16,
190.1,6.16,
191.1,6.18,
192.1,6.18,
193.1,6.18,
194.1,6.18,
195.1,6.15,
196.1,6.15,
197.1,6.11,
198.1,6.13,
199.1,6.17,
200.1,6.18,
201.1,5.83,
202.1,5.83,
203.1,5.85,
204.1,5.84,
205.1,5.82,
206.1,6.03,
207.1,6.43,
208.1,6.54,
209.1,6.48,
210.1,6.59,
211.1,6.62,
212.1,6.67,
213.1,6.74,
214.1,6.73,
215.1,6.79,
216.1,6.92,
217.1,6.99,
218.1,6.97,
219.1,7.04,
220.1,7.35,
221.1,7.45,
222.1,7.28,
223.1,7.45,
224.1,7.45,
225.1,7.46,
226.1,8.32,
227.1,8.0,
228.1,7.99,
229.1,7.64,
230.1,7.71,
231.1,7.79,
232.1,7.86,
233.1,7.93,
234.1,8.0,
235.1,8.09,
236.1,8.13,
237.1,7.64,
238.1,7.71,
239.1,7.78,
240.1,7.87,
241.1,7.95,
242.1,7.99,
243.1,8.07,
244.1,8.14,
245.1,7.89,
246.1,9.27,
247.1,9.44,
248.1,9.62,
249.1,9.79,
250.1,9.8,
251.1,9.81,
252.1,9.82,
253.1,9.81,
254.1,9.8,
255.1,9.33,
256.1,9.51,
257.1,9.68,
258.1,9.79,
259.1,9.8,
260.1,9.81,
261.1,9.82,
262.1,9.84,
263.1,9.42,
264.1,8.72,
265.1,7.71,
266.1,7.9,
267.1,7.9,
268.1,7.89,
269.1,7.93,
270.1,8.95,
271.1,9.91,
272.1,10.45,
273.1,9.32,
274.1,9.51,
275.1,7.12,
276.1,7.17,
277.1,7.27,
278.1,7.33,
279.1,7.54,
280.1,7.51,
281.1,7.87,
282.1,8.0,
283.1,8.15,
284.1,8.0,
285.1,8.14,
286.1,8.21,
287.1,8.96,
288.1,9.05,
289.1,8.92,
290.1,9.05,
291.1,8.27,
292.1,8.45,
293.1,8.23,
294.1,8.42,
295.1,8.2,
296.1,8.94,
297.1,9.04,
298.1,8.9,
299.1,9.04,
300.1,8.26,
301.1,7.98,
302.1,8.34,
303.1,8.61,
304.1,8.42,
305.1,8.34,
306.1,8.1,
307.1,8.56,
308.1,8.68,
309.1,8.51,
310.1,7.26,
311.1,7.26,
312.1,7.28,
313.1,7.3,
314.1,7.06,
315.1,6.87,
316.1,6.92,
317.1,6.96,
318.1,7.03,
319.1,7.19,
320.1,7.58,
321.1,7.58,
322.1,7.58,
323.1,7.58,
324.1,7.58,
325.1,7.58,
326.1,7.58,
327.1,7.58,
328.1,7.58,
329.1,7.57,
330.1,7.56,
331.1,7.55,
332.1,7.54,
333.1,7.54,
334.1,7.55,
335.1,7.48,
336.1,7.47,
337.1,7.47,
338.1,7.47,
339.1,7.47,
340.1,7.47,
341.1,7.47,
342.1,7.47,
343.1,7.47,
344.1,7.47,
345.1,7.47,
346.1,7.47,
347.1,7.47,
348.1,7.47,
349.1,7.47,
350.1,7.47,
351.1,7.47,
352.1,7.47,
353.1,7.47,
354.1,7.47,
355.1,7.47,
356.1,7.47,
357.1,7.47,
358.1,7.47,
359.1,7.47,
360.1,7.47,
361.1,7.47,
362.1,7.47,
363.1,7.46,
364.1,7.46,
365.1,7.46,
366.1,7.46,
367.1,7.46,
368.1,7.46,
369.1,7.46,
370.1,7.46,
371.1,7.46,
372.1,7.46,
373.1,7.46,
374.1,7.46,
375.1,7.46,
376.2,7.46,
377.2,7.4,
378.2,7.39,
379.2,7.38,
