# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,0.86,
1.0,0.86,
2.0,0.86,
3.0,0.86,
4.0,0.86,
5.0,0.86,
6.0,0.86,
7.0,1.05,
8.0,1.19,
9.0,1.27,
10.0,1.4,
11.1,1.96,
12.1,2.59,
13.1,3.19,
14.1,2.95,
15.1,2.95,
16.1,2.95,
17.1,2.94,
18.1,2.94,
19.1,2.94,
20.1,2.94,
21.1,2.94,
22.1,2.94,
23.1,2.94,
24.1,2.94,
25.1,2.94,
26.1,2.94,
27.1,2.94,
28.1,1.44,
29.1,1.29,
30.2,1.29,
31.2,1.29,
32.2,1.29,
33.2,1.29,
34.2,1.29,
35.2,1.29,
36.2,1.29,
37.2,1.29,
38.2,1.29,
39.2,1.29,
40.2,1.29,
41.2,1.29,
42.2,1.29,
43.2,1.29,
44.2,1.29,
45.2,1.29,
46.2,1.29,
47.2,1.31,
48.2,1.33,
49.2,1.34,
50.2,1.36,
51.2,1.36,
52.2,1.37,
53.2,1.4,
54.3,3.74,
55.3,4.26,
56.3,4.37,
57.3,4.41,
58.3,4.29,
59.3,4.29,
60.3,4.27,
61.3,4.32,
62.3,4.29,
63.3,4.29,
64.3,4.29,
65.3,4.45,
66.3,4.29,
67.3,4.29,
68.3,4.32,
69.3,4.29,
70.3,4.35,
71.3,4.29,
72.3,4.34,
73.3,4.4,
74.3,4.3,
75.3,4.33,
76.3,4.3,
77.4,4.36,
78.4,4.37,
79.4,4.35,
80.4,4.35,
81.4,4.43,
82.4,4.35,
83.4,4.36,
84.4,4.41,
85.4,4.37,
86.4,4.37,
87.4,4.37,
88.4,4.35,
89.4,4.41,
90.4,4.35,
91.4,4.38,
92.4,4.38,
93.4,4.36,
94.4,4.47,
95.4,4.39,
96.4,4.39,
97.4,4.42,
98.4,4.38,
99.4,4.49,
100.4,4.39,
101.4,4.43,
102.5,4.39,
103.5,4.41,
104.5,4.45,
105.5,4.45,
106.5,4.43,
107.5,4.42,
108.5,4.46,
109.5,4.43,
110.5,4.43,
111.5,4.46,
112.5,4.47,
113.5,4.49,
114.5,4.44,
115.5,4.47,
116.5,4.43,
117.5,4.44,
118.5,4.47,
119.5,4.44,
120.5,4.52,
121.5,4.45,
122.5,4.5,
123.5,4.47,
124.5,4.54,
125.5,4.47,
126.5,4.46,
127.5,4.44,
128.6,4.54,
129.6,4.45,
130.6,4.47,
131.6,4.47,
132.6,4.5,
133.6,4.48,
134.6,4.46,
135.6,4.51,
136.6,4.47,
137.6,4.48,
138.6,4.52,
139.6,4.48,
140.6,4.53,
141.6,4.5,
142.6,4.53,
143.6,4.5,
144.6,4.58,
145.6,4.51,
146.6,4.55,
147.6,4.52,
148.6,4.52,
149.6,4.55,
150.6,4.53,
151.6,4.61,
152.6,4.53,
153.7,4.56,
154.7,4.52,
155.7,4.6,
156.7,4.56,
157.7,4.56,
158.7,4.53,
159.7,4.54,
160.7,4.59,
161.7,4.55,
162.7,4.55,
163.7,4.59,
164.7,4.54,
165.7,4.54,
166.7,4.56,
167.7,4.54,
168.7,4.56,
169.7,4.63,
170.7,4.54,
171.7,4.61,
172.7,4.56,
173.7,4.64,
174.7,4.57,
175.7,4.6,
176.7,4.57,
177.8,4.57,
178.8,4.58,
179.8,4.62,
180.8,4.59,
181.8,4.59,
182.8,4.62,
183.8,4.63,
184.8,4.6,
185.8,4.6,
186.8,4.6,
187.8,4.6,
188.8,4.65,
189.8,4.63,
190.8,4.61,
191.8,4.65,
192.8,4.64,
193.8,4.61,
194.8,4.65,
195.8,4.65,
196.8,4.65,
197.8,4.61,
