# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,7.22,
1.0,7.13,
2.0,6.92,
3.0,6.92,
4.0,6.94,
5.0,6.94,
6.0,6.94,
7.0,6.27,
8.0,2.66,
9.0,2.69,
10.0,3.02,
11.0,3.18,
12.0,3.46,
13.0,3.85,
14.0,4.24,
15.0,4.63,
16.0,5.88,
17.0,5.92,
18.0,5.91,
19.0,5.89,
20.0,6.01,
21.0,6.01,
22.0,6.01,
23.0,5.98,
24.0,5.85,
25.0,5.84,
26.0,5.84,
27.0,5.85,
28.0,5.87,
29.0,5.98,
30.0,5.96,
31.0,5.97,
32.0,5.96,
33.0,5.98,
34.0,5.96,
35.0,5.92,
36.0,5.98,
37.0,5.99,
38.0,5.89,
39.0,5.78,
40.0,5.83,
41.0,5.84,
42.0,5.84,
43.0,5.84,
44.0,5.85,
45.0,5.86,
46.0,5.85,
47.0,5.84,
48.0,5.86,
49.0,5.86,
50.0,5.85,
51.0,5.85,
52.0,5.83,
53.0,5.84,
54.0,5.87,
55.0,5.87,
56.0,5.86,
57.0,5.86,
58.0,5.86,
59.0,5.85,
60.0,5.85,
61.0,5.84,
62.0,5.82,
63.0,5.83,
64.0,5.88,
65.0,5.89,
66.0,5.88,
67.0,5.9,
68.0,5.92,
69.0,5.92,
70.0,5.91,
71.0,5.85,
72.0,5.85,
73.0,5.87,
74.0,5.88,
75.0,5.87,
76.0,5.86,
77.0,5.85,
78.0,5.87,
79.0,5.87,
80.0,5.87,
81.0,5.87,
82.0,5.87,
83.0,5.87,
84.0,5.92,
85.0,5.92,
86.0,5.96,
87.0,5.95,
88.0,5.85,
89.0,5.89,
90.0,5.98,
91.0,6.02,
92.0,6.03,
93.0,5.94,
94.0,5.9,
95.0,5.92,
96.0,5.92,
97.0,5.92,
98.0,5.92,
99.0,5.92,
100.0,5.91,
101.0,5.94,
102.0,5.92,
103.0,5.91,
104.0,5.92,
105.0,5.91,
106.0,5.94,
107.0,5.89,
108.0,5.96,
109.0,5.93,
110.0,5.97,
111.0,5.93,
112.0,5.97,
113.0,5.98,
114.0,6.0,
115.0,6.0,
116.0,6.01,
117.0,5.99,
118.0,5.98,
119.0,5.99,
120.0,5.99,
121.0,5.98,
122.0,5.97,
123.1,5.98,
124.1,5.96,
125.1,5.99,
126.1,6.01,
127.1,6.01,
128.1,6.04,
129.1,5.99,
130.1,6.03,
131.1,6.01,
132.1,6.01,
133.1,6.0,
134.1,6.01,
135.1,5.96,
136.1,6.01,
137.1,6.0,
138.1,6.0,
139.1,6.0,
140.1,6.06,
141.1,6.03,
142.1,6.02,
143.1,6.05,
144.1,6.03,
145.1,6.05,
146.1,6.03,
147.1,6.04,
148.1,6.03,
149.1,6.06,
150.1,6.06,
151.1,6.09,
152.1,6.13,
153.1,6.13,
154.1,6.09,
155.1,6.1,
156.1,6.14,
157.1,6.07,
158.1,6.08,
159.1,6.05,
160.1,6.08,
161.1,6.08,
162.1,6.09,
163.1,6.09,
164.1,6.09,
165.1,6.09,
166.1,6.08,
167.1,6.08,
168.1,6.07,
169.1,6.08,
170.1,6.13,
171.1,6.17,
172.1,6.15,
173.1,6.14,
174.1,6.18,
175.1,6.15,
176.1,6.14,
177.1,6.05,
178.1,6.13,
179.1,6.15,
180.1,6.08,
181.1,6.08,
182.1,6.08,
183.1,6.15,
184.1,6.16,
185.1,6.17,
186.1,6.1,
187.1,6.15,
188.1,6.08,
189.1,6.17,
190.1,6.07,
191.1,6.1,
192.1,6.12,
193.1,6.15,
194.1,6.17,
195.1,6.19,
196.1,6.13,
197.1,6.13,
198.1,6.13,
199.1,6.12,
200.1,6.13,
201.1,6.14,
202.1,6.11,
203.1,6.15,
204.1,6.1,
205.1,6.15,
206.1,6.11,
207.1,6.14,
208.1,6.16,
209.1,6.14,
210.1,6.16,
211.1,6.17,
212.1,6.16,
213.1,6.15,
214.1,6.16,
215.1,6.16,
216.1,6.15,
217.1,6.16,
218.1,6.13,
219.1,6.2,
220.1,6.14,
221.1,6.14,
222.1,6.13,
223.1,6.15,
224.1,6.17,
225.1,5.83,
226.1,5.81,
227.1,5.81,
228.1,5.84,
229.1,5.83,
230.1,5.83,
231.1,6.01,
232.1,6.38,
233.1,6.54,
234.1,6.49,
235.1,6.54,
236.1,6.57,
237.1,6.58,
238.1,6.63,
239.1,6.79,
240.1,6.66,
241.1,6.73,
242.1,6.89,
243.1,6.95,
244.1,6.88,
245.1,6.96,
246.1,6.89,
247.1,7.38,
248.1,7.44,
249.1,7.31,
250.1,7.43,
251.1,7.42,
252.1,7.37,
253.1,8.1,
254.1,8.51,
255.1,7.99,
256.1,8.0,
257.1,7.6,
258.1,7.65,
259.1,7.71,
260.1,7.78,
261.1,7.85,
262.1,7.9,
263.1,7.98,
264.1,8.03,
265.1,8.11,
266.1,7.6,
267.1,7.69,
268.1,7.73,
269.1,7.79,
270.1,7.86,
271.1,7.92,
272.1,7.99,
273.1,8.04,
274.1,8.1,
275.1,7.87,
276.1,9.22,
277.1,9.4,
278.1,9.58,
279.1,9.75,
280.1,9.79,
281.1,9.8,
282.1,9.79,
283.1,9.81,
284.1,9.81,
285.1,8.79,
286.1,9.38,
287.1,9.56,
288.1,9.72,
289.1,9.8,
290.1,9.8,
291.1,9.8,
292.1,9.81,
293.1,9.81,
294.1,8.6,
295.1,8.77,
296.1,7.77,
297.1,7.9,
298.1,7.9,
299.1,7.89,
300.1,7.8,
301.1,8.6,
302.1,9.71,
303.1,10.03,
304.1,10.45,
305.1,9.3,
306.1,9.48,
307.1,7.3,
308.1,7.17,
309.1,7.34,
310.1,7.27,
311.1,7.35,
312.1,7.53,
313.1,7.5,
314.1,7.85,
315.1,7.93,
316.1,8.06,
317.1,8.18,
318.1,8.02,
319.1,8.16,
320.1,8.8,
321.1,8.96,
322.1,8.52,
323.1,8.92,
324.1,9.03,
325.1,8.26,
326.1,8.44,
327.1,8.22,
328.1,8.4,
329.1,8.19,
330.1,8.93,
331.1,9.04,
332.1,8.89,
333.1,9.06,
334.1,8.25,
335.1,8.23,
336.1,8.18,
337.1,8.6,
338.1,8.32,
339.1,8.29,
340.1,8.26,
341.1,8.24,
342.1,8.68,
343.1,8.4,
344.1,7.39,
345.1,7.32,
346.1,7.32,
347.1,7.31,
348.1,7.25,
349.1,6.92,
350.1,6.96,
351.1,6.99,
352.1,7.08,
353.2,7.28,
354.2,7.64,
355.2,7.63,
356.2,7.61,
357.2,7.6,
358.2,7.59,
359.2,7.58,
360.2,7.56,
361.2,7.56,
362.2,7.55,
363.2,7.55,
364.2,7.55,
365.2,7.54,
366.2,7.54,
367.2,7.54,
368.2,7.47,
369.2,7.47,
370.2,7.47,
371.2,7.47,
372.2,7.47,
373.2,7.47,
374.2,7.47,
375.2,7.47,
376.2,7.47,
377.2,7.47,
378.2,7.47,
379.2,7.47,
380.2,7.47,
381.2,7.47,
382.2,7.46,
383.2,7.46,
384.2,7.46,
385.2,7.46,
386.2,7.46,
387.2,7.46,
388.2,7.46,
389.2,7.46,
390.2,7.45,
391.2,7.45,
392.2,7.45,
393.2,7.45,
394.2,7.45,
395.2,7.45,
396.2,7.45,
397.2,7.46,
398.2,7.46,
399.2,7.46,
400.2,7.46,
401.2,7.46,
402.2,7.46,
403.2,7.46,
404.2,7.46,
405.2,7.46,
406.2,7.46,
407.2,7.46,
408.2,7.46,
409.2,7.46,
410.2,7.46,
411.2,7.4,
412.2,7.4,
