# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,1.01,0.25
1.0,1.01,0.25
2.1,1.02,0.25
3.1,1.02,0.25
4.1,1.02,0.25
5.1,1.02,0.25
6.2,1.02,0.25
7.2,1.55,0.25
8.2,1.75,0.5
9.2,1.75,0.5
10.3,1.86,0.5
11.3,1.98,0.5
12.3,2.1,0.5
13.3,2.22,0.5
14.4,2.34,0.5
15.4,2.27,0.5
16.4,2.24,0.5
17.4,2.23,0.5
18.4,2.35,0.5
19.5,2.47,0.5
20.5,2.59,0.5
21.5,2.52,0.5
22.5,2.64,0.5
23.6,2.76,0.5
24.6,2.88,0.5
25.6,2.87,0.5
26.6,2.81,0.5
27.7,2.93,0.5
28.7,2.98,0.5
29.7,3.04,0.5
30.8,3.03,0.5
31.8,2.84,0.5
32.8,1.77,0.5
33.8,1.77,0.5
34.9,1.77,0.5
35.9,1.77,0.5
36.9,1.77,0.5
37.9,1.77,0.5
39.0,1.77,0.5
40.0,1.77,0.5
41.0,1.77,0.5
42.0,1.77,0.5
43.1,1.77,0.5
44.1,1.77,0.5
45.1,1.77,0.5
46.1,1.77,0.5
47.2,1.77,0.5
48.2,1.77,0.5
49.2,1.77,0.5
50.3,1.77,0.5
51.3,2.31,0.5
52.3,2.54,0.75
53.3,2.56,0.75
54.3,2.65,0.75
55.4,2.77,0.75
56.4,2.89,0.75
57.4,2.88,0.75
58.4,2.94,0.75
59.5,3.0,0.75
60.5,3.11,0.75
61.5,3.23,0.75
62.5,3.35,0.75
63.6,3.16,0.75
64.6,2.57,0.75
65.6,2.57,0.75
66.6,2.57,0.75
67.7,2.57,0.75
68.7,2.57,0.75
69.7,2.57,0.75
70.7,2.57,0.75
71.8,2.57,0.75
72.8,3.2,0.75
73.8,3.4,1.0
74.8,4.03,1.0
75.9,4.05,1.0
76.9,4.16,1.0
77.9,4.26,1.0
78.9,4.34,1.0
80.0,4.61,1.0
81.0,4.8,1.0
82.0,5.34,2.34
83.0,5.19,2.34
84.1,4.78,2.34
85.1,4.94,2.34
86.1,5.11,2.34
87.1,5.64,2.34
88.1,5.69,2.34
89.2,5.71,2.34
90.2,5.76,2.34
91.2,5.81,2.34
92.2,7.02,2.34
93.3,7.64,2.34
94.3,8.23,2.34
95.3,8.84,3.99
96.3,8.84,4.11
97.4,8.84,4.11
98.4,8.84,4.11
99.4,8.96,4.11
100.4,9.15,4.11
101.5,9.39,4.11
102.5,9.62,4.11
103.5,9.84,4.11
104.5,10.07,4.11
105.6,10.8,4.11
106.6,12.14,4.11
107.6,11.94,4.11
108.6,12.14,4.11
109.6,14.35,4.11
110.7,14.97,4.11
111.7,15.76,4.11
112.7,16.05,4.11
113.7,16.51,4.11
114.8,16.39,4.11
115.8,16.92,4.11
116.8,16.94,4.11
117.8,17.08,4.11
118.9,17.0,4.11
