# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,0.96,0.11
1.1,0.96,0.11
2.1,0.96,0.11
3.2,0.96,0.11
4.2,0.96,0.11
5.2,0.96,0.11
6.3,0.96,0.11
7.3,1.49,0.11
8.3,1.61,0.11
9.4,1.64,0.11
10.4,1.65,0.11
11.5,1.82,0.22
12.5,1.84,0.22
13.5,1.91,0.22
14.5,2.02,0.22
15.6,2.06,0.22
16.6,2.11,0.22
17.6,2.23,0.22
18.7,2.35,0.22
19.7,2.47,0.22
20.7,2.46,0.22
21.7,2.59,0.22
22.8,2.71,0.22
23.8,2.83,0.22
24.8,2.63,0.22
25.9,2.57,0.22
26.9,2.69,0.22
27.9,2.81,0.22
29.0,2.77,0.22
30.0,2.87,0.22
31.0,2.99,0.22
32.1,3.11,0.22
33.1,3.11,0.22
34.1,2.85,0.22
35.2,2.91,0.22
36.2,2.36,0.22
37.2,1.87,0.22
38.3,1.87,0.22
39.3,1.87,0.22
40.3,1.87,0.22
41.4,1.87,0.22
42.4,1.87,0.22
43.5,1.88,0.22
44.5,2.67,0.22
45.5,4.19,0.22
46.6,4.71,0.53
47.6,4.91,1.16
48.6,4.91,1.2
49.7,4.91,1.01
50.7,5.62,5.63
51.7,7.13,5.63
52.8,7.64,4.45
53.8,7.76,4.45
54.8,8.46,4.45
55.8,8.56,4.45
56.9,8.68,4.46
57.9,8.88,4.56
58.9,8.88,4.56
60.0,8.88,4.56
61.0,8.88,4.56
62.0,8.88,4.56
63.0,8.88,4.56
64.1,8.88,4.56
65.1,8.88,4.56
66.1,8.88,4.56
67.2,8.88,4.56
68.2,8.88,4.56
69.2,8.88,4.56
70.3,8.88,4.56
71.3,8.88,4.56
72.3,8.88,4.56
73.4,8.88,4.56
74.4,8.88,4.56
75.4,8.88,4.56
76.4,8.88,4.56
77.5,8.88,4.56
78.5,8.88,4.56
79.5,8.88,4.56
80.6,8.88,4.56
81.6,8.88,4.56
82.6,8.88,4.56
83.7,8.88,4.56
84.7,8.88,4.56
85.7,8.88,4.56
86.8,8.88,4.56
87.8,8.88,4.56
88.8,8.88,4.56
89.9,8.88,4.56
90.9,8.88,4.56
92.0,8.88,4.56
93.0,8.88,4.56
94.1,8.88,4.56
95.1,8.88,4.56
96.1,8.88,4.56
97.2,8.88,4.56
98.2,8.88,4.56
99.3,8.88,4.56
100.3,8.88,4.56
101.4,8.88,4.56
102.4,8.88,4.56
103.4,8.88,4.56
104.5,8.88,4.56
105.5,8.88,4.56
106.6,8.88,4.56
107.6,8.88,4.56
108.7,8.88,4.56
109.7,8.88,4.56
110.7,8.88,4.56
111.8,8.88,4.56
112.8,8.88,4.56
113.9,8.88,4.56
114.9,8.88,4.56
116.0,8.88,4.56
117.0,8.88,4.56
118.1,8.88,4.56
119.1,8.88,4.56
120.1,8.88,4.56
121.2,8.88,4.56
122.2,8.88,4.56
123.3,8.88,4.56
124.3,8.88,4.56
125.4,8.88,4.56
126.4,8.88,4.56
127.4,8.88,4.56
128.5,8.88,4.56
129.5,8.88,4.56
130.6,8.88,4.56
131.6,8.88,4.56
132.7,8.88,4.56
133.7,8.88,4.56
134.7,8.88,4.56
135.8,8.88,4.56
136.9,8.88,4.56
137.9,8.88,4.56
138.9,8.88,4.56
140.0,8.88,4.56
141.0,8.88,4.56
142.1,8.88,4.56
143.1,8.88,4.56
144.2,8.88,4.56
145.2,8.88,4.56
146.2,8.88,4.56
147.3,8.88,4.56
148.3,8.88,4.56
149.4,8.88,4.56
150.4,8.88,4.56
151.5,8.88,4.56
152.5,8.88,4.56
153.6,8.88,4.56
154.6,8.88,4.56
155.7,8.88,4.56
156.7,8.88,4.56
157.7,8.88,4.56
158.8,8.88,4.56
159.8,8.88,4.56
160.9,8.88,4.56
161.9,8.88,4.56
163.0,8.88,4.56
164.0,8.88,4.56
165.1,8.88,4.56
166.1,8.88,4.56
167.1,8.88,4.56
168.2,8.88,4.56
169.2,8.88,4.56
170.3,8.88,4.56
171.3,8.88,4.56
172.4,8.88,4.56
173.4,8.88,4.56
174.5,8.88,4.56
175.5,8.88,4.56
176.5,8.88,4.56
177.6,8.88,4.56
178.6,8.88,4.56
179.7,8.88,4.56
180.7,8.88,4.56
181.8,8.88,4.56
182.8,8.88,4.56
183.9,8.88,4.56
184.9,8.88,4.56
185.9,8.88,4.56
187.0,8.88,4.56
188.0,8.88,4.56
189.1,8.88,4.56
190.1,8.88,4.56
191.2,8.88,4.56
192.2,8.88,4.56
193.2,8.88,4.56
194.3,8.88,4.56
195.4,8.88,4.56
196.4,8.88,4.56
197.4,8.88,4.56
198.5,8.88,4.56
199.5,8.88,4.56
200.6,8.88,4.56
201.6,8.88,4.56
202.7,8.88,4.56
203.7,8.88,4.56
204.7,8.88,4.56
205.8,8.88,4.56
206.8,8.88,4.56
207.9,8.88,4.56
208.9,8.88,4.56
210.0,8.88,4.56
211.0,8.88,4.56
212.1,8.88,4.56
213.1,8.88,4.56
214.2,8.88,4.56
215.2,8.88,4.56
216.3,8.88,4.56
217.3,8.88,4.56
218.4,8.88,4.56
219.4,8.88,4.56
220.4,8.88,4.56
221.5,8.88,4.56
222.5,8.88,4.56
223.6,8.88,4.56
224.6,8.88,4.56
225.7,8.88,4.56
226.7,8.88,4.56
227.7,8.88,4.56
228.8,8.88,4.56
229.8,8.88,4.56
230.9,8.88,4.56
231.9,8.88,4.56
233.0,8.88,4.56
234.0,8.88,4.56
235.0,8.88,4.56
236.1,8.88,4.56
237.1,8.88,4.56
238.2,8.88,4.56
239.2,8.88,4.56
240.3,8.88,4.56
241.3,8.88,4.56
242.4,8.88,4.56
243.4,8.88,4.56
244.4,8.88,4.56
245.5,8.88,4.56
246.5,8.88,4.56
247.6,8.88,4.56
248.6,8.88,4.56
249.6,8.88,4.56
250.7,8.88,4.56
251.8,8.88,4.56
252.8,8.88,4.56
253.8,8.88,4.56
254.9,8.88,4.56
255.9,8.88,4.56
257.0,8.88,4.56
258.0,8.88,4.56
259.1,8.88,4.56
260.1,8.88,4.56
261.1,8.88,4.56
262.2,8.88,4.56
263.2,8.88,4.56
264.3,8.88,4.56
265.3,8.88,4.56
266.4,8.88,4.56
267.4,8.88,4.56
268.5,8.88,4.56
269.5,8.88,4.56
270.5,8.88,4.56
271.6,8.88,4.56
272.6,8.88,4.56
273.7,8.88,4.56
274.7,8.88,4.56
275.7,8.88,4.56
276.8,8.88,4.56
277.8,8.88,4.56
278.9,8.88,4.56
279.9,8.88,4.56
281.0,8.88,4.56
282.0,8.88,4.56
283.0,8.88,4.56
284.1,8.88,4.56
285.1,8.88,4.56
286.2,8.88,4.56
287.2,8.88,4.56
288.3,8.88,4.56
289.3,8.88,4.56
290.3,8.88,4.56
291.4,8.88,4.56
292.4,8.88,4.56
293.5,8.88,4.56
294.5,8.88,4.56
295.6,8.88,4.56
296.6,8.88,4.56
297.6,8.88,4.56
298.7,8.88,4.56
299.7,8.88,4.56
300.8,8.88,4.56
301.8,8.88,4.56
302.9,8.88,4.56
303.9,8.88,4.56
304.9,8.88,4.56
306.0,8.88,4.56
307.0,8.88,4.56
308.1,8.88,4.56
309.1,8.88,4.56
310.2,8.88,4.56
311.2,8.88,4.56
312.2,8.88,4.56
313.3,8.88,4.56
314.3,8.88,4.56
315.4,8.88,4.56
