# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,8.88,4.56
1.0,8.88,4.56
2.1,8.88,4.56
3.1,8.88,4.56
4.2,8.88,4.56
5.2,8.88,4.56
6.2,1.89,0.22
7.3,2.37,0.22
8.3,2.5,0.22
9.8,2.75,0.33
10.8,3.43,0.33
11.8,4.91,0.33
12.9,5.66,0.6
13.9,5.96,1.3
14.9,5.96,1.34
15.9,5.96,1.18
17.0,6.77,5.65
18.0,8.39,2.37
19.0,8.68,4.93
20.1,8.57,4.83
21.1,8.69,4.83
22.1,8.81,4.83
23.1,9.01,4.94
24.2,9.01,4.94
25.2,9.01,4.94
26.2,9.01,4.94
27.3,9.01,4.94
28.3,9.01,4.94
29.3,9.01,4.94
30.4,9.01,4.94
31.4,9.01,4.94
32.4,9.01,4.94
33.5,9.01,4.94
34.5,9.01,4.94
35.5,9.01,4.94
36.5,9.01,4.94
37.6,9.01,4.94
38.6,9.01,4.94
39.6,9.01,4.94
40.7,9.01,4.94
41.7,9.01,4.94
42.8,9.01,4.94
43.8,9.01,4.94
44.9,9.01,4.94
45.9,9.01,4.94
46.9,9.01,4.94
48.0,9.01,4.94
49.0,9.01,4.94
50.0,9.01,4.94
51.1,9.01,4.94
52.1,9.01,4.94
53.2,9.01,4.94
54.2,9.01,4.94
55.3,9.01,4.94
56.3,9.01,4.94
57.4,9.01,4.94
58.4,9.01,4.94
59.5,9.01,4.94
60.5,9.01,4.94
61.6,9.01,4.94
62.7,9.01,4.94
63.7,9.01,4.94
64.8,9.01,4.94
65.8,9.01,4.94
66.9,9.01,4.94
67.9,9.01,4.94
69.0,9.01,4.94
70.0,9.01,4.94
71.1,9.01,4.94
72.1,9.01,4.94
73.2,9.01,4.94
74.2,9.01,4.94
75.3,9.01,4.94
76.3,9.01,4.94
77.4,9.01,4.94
78.4,9.01,4.94
79.5,9.01,4.94
80.5,9.01,4.94
81.6,9.01,4.94
82.6,9.01,4.94
83.7,9.01,4.94
84.7,9.01,4.94
85.8,9.01,4.94
86.8,9.01,4.94
87.9,9.01,4.94
88.9,9.01,4.94
90.0,9.01,4.94
91.1,9.01,4.94
92.1,9.01,4.94
93.1,9.01,4.94
94.2,9.01,4.94
95.2,9.01,4.94
96.3,9.01,4.94
97.3,9.01,4.94
98.4,9.01,4.94
99.4,9.01,4.94
100.5,9.01,4.94
101.5,9.01,4.94
102.6,9.01,4.94
103.6,9.01,4.94
104.7,9.01,4.94
105.7,9.01,4.94
106.8,9.01,4.94
107.8,9.01,4.94
108.9,9.01,4.94
109.9,9.01,4.94
111.0,9.01,4.94
112.0,9.01,4.94
113.0,9.01,4.94
114.1,9.01,4.94
