# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,12.79,11.53
1.0,7.44,4.01
2.1,7.57,4.26
3.1,7.57,4.26
4.1,7.57,4.26
5.1,7.57,4.26
6.2,7.72,4.26
7.2,7.77,4.26
8.2,7.78,4.26
9.2,9.53,4.26
10.3,8.35,6.46
11.3,8.13,7.71
12.3,8.36,12.02
13.3,10.08,12.02
14.4,10.78,9.18
15.4,11.22,11.74
16.4,11.21,7.74
17.4,11.35,12.15
18.5,12.75,12.15
19.5,13.45,11.03
20.6,14.16,11.03
21.6,15.63,11.03
22.6,16.1,4.46
23.7,16.1,4.46
24.7,16.1,4.46
25.7,16.1,4.46
26.8,16.1,4.46
27.8,16.1,4.46
28.8,16.1,4.46
29.9,16.1,4.46
30.9,16.1,4.46
31.9,16.1,4.46
33.0,16.1,4.46
34.0,16.1,4.46
35.0,16.1,4.46
36.1,16.1,4.46
37.1,16.1,4.46
38.1,16.1,4.46
39.2,16.1,4.46
40.2,16.1,4.46
41.3,16.1,4.46
42.3,16.1,4.46
43.3,16.1,4.46
44.3,16.1,4.46
45.4,16.1,4.46
46.4,16.1,4.46
47.5,16.1,4.46
48.5,16.1,4.46
49.5,16.1,4.46
50.6,16.1,4.46
51.6,16.1,4.46
52.6,16.1,4.46
53.7,16.1,4.46
54.7,16.1,4.46
55.8,16.1,4.46
56.8,16.1,4.46
57.9,16.1,4.46
58.9,16.1,4.46
59.9,16.1,4.46
61.0,16.1,4.46
62.0,16.1,4.46
63.1,16.1,4.46
64.1,16.1,4.46
65.1,16.1,4.46
66.2,16.1,4.46
67.2,16.1,4.46
68.3,16.1,4.46
69.3,16.1,4.46
70.4,16.1,4.46
71.4,16.1,4.46
72.4,16.1,4.46
73.5,16.1,4.46
74.5,16.1,4.46
75.6,16.1,4.46
76.6,16.1,4.46
77.6,16.1,4.46
78.7,16.1,4.46
79.7,16.1,4.46
80.8,16.1,4.46
81.8,16.1,4.46
82.8,16.1,4.46
83.9,16.1,4.46
84.9,16.1,4.46
86.0,16.1,4.46
87.0,16.1,4.46
88.1,16.1,4.46
89.1,16.1,4.46
90.2,16.1,4.46
91.2,16.1,4.46
92.2,16.1,4.46
93.3,16.1,4.46
94.3,16.1,4.46
95.4,16.1,4.46
96.4,16.1,4.46
97.4,16.1,4.46
98.5,16.1,4.46
99.5,16.1,4.46
100.5,16.1,4.46
101.6,16.1,4.46
102.6,16.1,4.46
103.7,16.1,4.46
104.7,16.1,4.46
105.7,16.1,4.46
106.8,16.1,4.46
107.8,16.1,4.46
108.9,16.1,4.46
