# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,0.56,
1.1,0.56,
2.1,0.56,
3.2,0.56,
4.2,0.56,
5.2,0.56,
6.3,0.56,
7.3,0.56,
8.4,0.73,
9.4,0.8,
10.4,0.86,
11.5,0.9,
12.5,1.01,
13.5,1.24,
14.6,1.45,
15.7,1.56,
16.7,1.71,
17.8,1.88,
18.8,1.81,
19.9,1.63,
21.0,1.4,
22.0,1.26,
23.1,1.1,
24.1,1.18,
25.2,1.23,
26.3,1.66,
27.4,1.72,
28.5,1.67,
29.5,2.03,
30.6,2.33,
31.7,2.81,
32.7,1.97,
33.8,1.68,
34.8,1.8,
35.8,1.82,
36.9,1.85,
37.9,1.89,
39.0,1.89,
40.1,1.91,
41.1,1.96,
42.1,2.48,
43.2,2.42,
44.3,2.35,
45.4,1.98,
46.5,1.61,
47.5,1.38,
48.6,1.4,
49.7,1.13,
50.8,1.0,
51.8,0.59,
52.9,0.13,
54.0,0.13,
55.1,0.13,
56.1,0.12,
57.1,0.12,
58.2,0.12,
59.3,0.12,
60.3,0.12,
61.3,0.19,
62.4,0.2,
63.5,0.21,
64.5,0.18,
65.6,0.11,
66.7,0.12,
67.7,0.13,
68.8,0.11,
69.8,0.11,
70.8,0.1,
71.8,0.1,
72.9,0.1,
73.9,0.08,
75.0,0.08,
76.1,0.08,
77.1,0.08,
78.2,0.08,
79.2,0.09,
80.2,0.08,
81.3,0.08,
82.4,0.08,
83.5,0.08,
84.6,0.06,
85.7,0.04,
86.8,0.04,
87.9,0.04,
88.9,0.04,
90.0,0.05,
91.2,0.06,
92.3,0.05,
93.3,0.06,
94.3,0.07,
95.4,0.07,
96.4,0.06,
97.5,0.06,
98.7,0.05,
99.7,0.05,
100.9,0.03,
101.9,0.03,
104.5,0.03,
105.8,0.03,
107.0,0.02,
108.1,0.03,
109.2,0.04,
110.2,0.04,
111.3,0.05,
112.4,0.04,
113.6,0.03,
115.1,0.03,
116.2,0.03,
117.2,0.03,
118.4,0.03,
119.5,0.03,
120.5,0.04,
121.6,0.04,
122.7,0.04,
123.8,0.04,
125.0,0.04,
126.2,0.03,
127.3,0.03,
128.5,0.03,
129.6,0.02,
132.0,0.04,
133.1,0.04,
134.3,0.04,
135.4,0.04,
136.5,0.04,
137.7,0.04,
138.9,0.04,
139.9,0.05,
140.9,0.05,
142.1,0.06,
143.2,0.05,
144.3,0.05,
145.4,0.05,
146.5,0.05,
147.7,0.05,
148.8,0.05,
150.0,0.04,
151.2,0.04,
152.3,0.04,
153.5,0.01,
154.6,0.01,
155.7,0.02,
156.8,0.02,
157.9,0.02,
158.9,0.02,
160.0,0.02,
161.1,0.02,
162.2,0.02,
163.4,0.02,
164.5,0.02,
165.6,0.02,
167.0,0.02,
168.2,0.03,
169.3,0.05,
170.5,0.05,
171.6,0.06,
172.8,0.06,
174.2,0.02,
175.4,0.05,
177.5,0.05,
178.7,0.04,
179.7,0.04,
180.7,0.04,
181.9,0.05,
183.1,0.05,
184.1,0.03,
185.2,0.03,
186.7,0.03,
187.9,0.04,
188.9,0.04,
190.1,0.06,
191.2,0.07,
192.2,0.07,
193.4,0.08,
194.5,0.08,
195.6,0.18,
196.7,0.22,
197.9,0.32,
198.9,0.23,
200.1,0.23,
201.2,0.21,
202.4,0.18,
203.8,0.17,
204.9,0.17,
206.1,0.18,
207.1,0.21,
208.2,0.23,
209.4,0.31,
210.5,0.36,
211.6,0.34,
212.7,0.37,
213.8,0.47,
214.9,0.52,
216.0,0.55,
217.1,0.58,
218.3,0.66,
219.4,0.77,
220.4,0.81,
221.6,0.78,
222.7,0.7,
223.7,0.69,
224.8,0.69,
226.0,0.69,
227.0,0.69,
228.0,0.67,
229.0,0.63,
230.0,0.59,
231.2,0.59,
