# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.17,
1.1,3.13,
2.3,2.91,
3.4,3.01,
4.5,3.1,
5.7,3.21,
6.7,3.19,
7.7,3.16,
8.7,3.26,
9.8,3.22,
10.8,3.25,
11.9,3.31,
13.0,3.37,
14.1,3.41,
15.2,3.41,
16.3,3.46,
17.5,3.47,
18.5,3.51,
19.5,3.54,
20.5,3.53,
21.6,3.57,
22.7,3.57,
23.8,3.6,
24.8,3.61,
25.9,3.59,
27.0,3.65,
28.1,3.64,
29.1,3.69,
30.2,3.7,
31.3,3.73,
32.4,3.73,
33.5,3.73,
34.6,3.78,
35.6,3.77,
36.6,3.85,
37.8,3.86,
38.9,3.86,
39.9,3.87,
41.1,3.85,
42.1,3.87,
43.3,3.86,
44.3,3.87,
45.4,3.87,
46.4,3.85,
47.5,3.87,
48.6,3.84,
49.7,3.87,
50.7,3.86,
51.9,3.87,
52.9,3.86,
54.0,3.88,
55.2,3.87,
56.2,3.85,
57.3,3.87,
58.4,3.84,
59.4,3.87,
60.6,3.84,
61.7,3.88,
62.8,3.86,
63.8,3.84,
64.9,3.86,
66.0,3.84,
67.0,3.86,
68.2,3.82,
69.3,3.87,
70.3,3.87,
71.4,3.85,
72.4,3.87,
73.4,3.86,
74.5,3.87,
75.6,3.86,
76.7,3.87,
77.9,3.85,
79.0,3.86,
80.0,3.87,
81.1,3.77,
82.1,3.84,
83.3,3.83,
84.3,3.86,
85.4,3.88,
86.5,3.84,
87.6,3.88,
88.8,3.85,
89.9,3.87,
91.0,3.84,
92.1,3.85,
93.2,3.83,
94.3,3.86,
95.4,3.84,
96.5,3.84,
97.7,3.84,
98.8,3.82,
99.8,3.87,
100.8,3.85,
101.9,3.85,
103.0,3.84,
104.1,3.85,
105.1,3.86,
106.2,3.84,
107.4,3.87,
108.4,3.85,
109.4,3.86,
110.5,3.83,
111.6,3.87,
112.7,3.85,
113.8,3.82,
114.9,3.85,
116.0,3.82,
117.1,3.85,
118.2,3.83,
119.3,3.83,
120.4,3.84,
121.5,3.86,
122.7,3.85,
123.7,3.81,
124.9,3.86,
125.9,3.84,
126.9,3.82,
127.9,3.84,
128.9,3.83,
130.0,3.86,
131.1,3.84,
132.2,3.86,
133.2,3.81,
134.3,3.86,
135.3,3.86,
136.4,3.83,
137.6,3.82,
138.7,3.83,
139.8,3.86,
140.9,3.84,
142.0,3.86,
143.1,3.8,
144.1,3.86,
145.3,3.86,
146.3,3.84,
147.4,3.86,
148.5,3.83,
149.6,3.85,
150.7,3.83,
151.7,3.83,
152.8,3.83,
153.8,3.81,
155.0,3.82,
156.1,3.79,
157.1,3.83,
158.3,3.8,
159.4,3.81,
160.5,3.81,
161.6,3.81,
162.7,3.79,
163.8,3.73,
164.8,3.75,
165.9,3.72,
167.0,3.73,
168.0,3.71,
169.1,3.71,
170.2,3.72,
171.3,3.61,
172.3,3.54,
173.4,3.24,
174.5,3.03,
175.6,2.96,
176.7,2.76,
177.9,2.53,
179.0,2.4,
180.0,2.24,
181.2,2.03,
182.3,2.23,
183.3,2.3,
184.4,2.35,
185.4,2.26,
186.6,2.19,
187.6,2.05,
188.7,2.2,
189.7,1.8,
190.8,2.24,
191.9,2.18,
193.1,2.32,
194.2,2.09,
195.4,1.93,
196.5,1.77,
197.7,1.64,
198.8,1.94,
199.9,2.4,
201.0,2.44,
202.2,2.43,
203.3,1.65,
204.4,2.36,
205.6,2.3,
206.7,2.28,
207.9,2.24,
209.0,2.25,
210.1,2.27,
211.2,2.26,
212.3,2.26,
213.5,2.28,
214.5,2.23,
215.6,2.25,
216.8,1.58,
217.9,2.3,
219.0,2.38,
220.1,2.3,
221.2,2.21,
222.4,2.18,
223.5,2.41,
224.5,2.22,
225.7,2.24,
226.8,2.24,
227.8,2.23,
228.9,1.9,
229.9,2.23,
230.9,2.33,
232.0,2.35,
233.2,2.26,
234.3,2.3,
235.3,2.36,
236.3,2.85,
237.6,2.66,
238.7,2.56,
239.8,2.44,
240.9,2.27,
242.0,2.2,
243.1,2.05,
244.2,1.97,
245.4,1.87,
246.6,1.75,
247.8,1.72,
248.9,1.67,
250.0,1.68,
251.1,1.79,
252.2,1.98,
253.4,2.13,
254.5,2.29,
255.6,2.27,
256.7,2.25,
257.8,2.27,
258.9,2.27,
260.0,2.25,
261.2,2.24,
262.3,2.27,
263.5,2.26,
264.6,2.24,
265.6,2.26,
266.8,2.26,
267.9,2.24,
268.9,2.24,
270.3,2.24,
271.3,2.24,
272.4,2.22,
273.5,2.22,
274.5,2.26,
275.6,2.26,
276.7,2.26,
278.3,2.25,
279.9,2.25,
280.9,2.26,
282.1,2.26,
283.2,2.26,
284.2,2.3,
285.3,2.27,
286.4,2.32,
287.6,2.38,
288.7,2.31,
289.8,2.27,
290.9,2.29,
292.0,2.27,
293.1,2.27,
294.2,2.28,
295.2,2.26,
296.3,2.29,
297.3,2.32,
298.5,2.33,
299.6,2.33,
300.7,2.33,
301.8,2.33,
302.9,2.32,
304.1,2.32,
305.2,2.33,
306.3,2.33,
307.5,2.33,
308.6,2.35,
309.7,2.34,
310.9,2.35,
312.0,2.36,
313.1,2.4,
314.3,2.46,
315.4,2.46,
316.5,2.41,
317.6,2.29,
318.7,2.24,
319.9,2.27,
321.0,2.35,
322.2,2.37,
323.3,2.42,
324.4,2.5,
325.5,2.66,
326.5,2.54,
327.6,2.32,
328.8,2.36,
329.8,2.38,
330.9,2.46,
332.1,2.53,
333.1,2.58,
334.3,2.57,
335.4,2.41,
336.5,2.33,
337.7,2.29,
338.8,2.33,
339.8,2.36,
340.9,2.36,
342.1,2.41,
343.2,2.45,
344.3,2.45,
345.5,2.43,
346.6,2.39,
347.7,2.36,
348.9,2.38,
350.0,2.35,
351.1,2.38,
352.2,2.38,
353.4,2.41,
354.5,2.44,
355.7,2.44,
356.8,2.45,
358.0,2.41,
359.1,2.31,
360.2,2.28,
361.3,2.28,
362.4,2.26,
363.5,2.27,
364.6,2.3,
365.7,2.34,
366.8,2.35,
367.8,2.37,
369.0,2.36,
370.0,2.37,
371.2,2.42,
372.3,2.44,
373.4,2.44,
374.4,2.46,
375.6,2.48,
376.7,2.49,
377.7,2.56,
378.9,2.58,
380.0,2.62,
381.2,2.67,
382.3,2.42,
383.3,1.97,
384.4,2.03,
385.5,2.0,
386.7,2.02,
387.7,2.3,
388.7,2.09,
389.8,3.05,
390.8,3.67,
392.0,3.64,
393.1,3.46,
394.2,3.38,
395.3,3.42,
396.3,3.4,
397.6,3.39,
398.7,3.34,
399.9,3.34,
401.0,3.31,
402.2,3.3,
403.3,3.3,
404.4,3.31,
405.5,3.3,
406.6,3.21,
407.8,3.09,
408.9,2.97,
410.1,2.95,
411.2,2.95,
412.3,2.99,
413.4,2.98,
414.5,3.08,
415.6,3.26,
416.8,3.25,
417.8,3.25,
418.9,3.25,
420.1,3.17,
421.2,2.98,
422.3,2.94,
423.3,2.96,
424.4,2.96,
425.5,2.97,
426.5,2.98,
427.5,3.03,
428.7,3.13,
429.8,3.25,
430.8,3.26,
431.9,3.25,
433.1,3.26,
434.2,3.17,
435.4,3.08,
436.5,2.94,
437.6,2.94,
438.7,2.95,
439.9,2.97,
441.0,2.96,
442.0,2.97,
443.1,3.04,
444.1,3.21,
445.2,3.25,
446.4,3.24,
447.5,3.25,
448.6,3.24,
449.7,3.12,
450.9,2.95,
452.1,2.94,
453.3,2.95,
454.3,2.94,
455.5,2.94,
456.5,3.01,
457.6,3.11,
458.7,3.25,
459.8,3.26,
460.9,3.23,
461.9,3.15,
463.0,3.07,
464.1,2.91,
465.2,2.92,
466.4,2.92,
467.5,2.95,
468.6,2.96,
469.7,3.04,
470.7,3.19,
471.8,2.58,
472.9,2.01,
473.9,2.26,
475.0,2.35,
476.1,2.03,
477.1,2.32,
478.2,2.57,
479.2,2.72,
480.3,3.39,
481.4,3.98,
482.5,3.64,
483.7,3.51,
484.8,3.45,
485.9,3.37,
487.1,3.3,
488.2,3.25,
