[2026-05-11 09:31:24.997] [info]  Using uv at /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/uv/macos/uv
[2026-05-11 09:31:24.998] [info]  Install state: installed
[2026-05-11 09:31:24.998] [info]  Validating installation. Recorded state: [installed]
[2026-05-11 09:31:24.999] [info]  Running uv command directly: pip install --dry-run -r /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/ComfyUI/requirements.txt
[2026-05-11 09:31:24.999] [info]  Running uv child process: uv pip install --dry-run -r /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/ComfyUI/requirements.txt
[2026-05-11 09:31:25.000] [info]  Running command: /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/uv/macos/uv pip install --dry-run -r /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/ComfyUI/requirements.txt in /Users/runner/Documents/ComfyUI
[2026-05-11 09:31:25.159] [info]  Running uv command directly: pip install --dry-run -r /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/ComfyUI/manager_requirements.txt
[2026-05-11 09:31:25.160] [info]  Running uv child process: uv pip install --dry-run -r /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/ComfyUI/manager_requirements.txt
[2026-05-11 09:31:25.160] [info]  Running command: /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/uv/macos/uv pip install --dry-run -r /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/ComfyUI/manager_requirements.txt in /Users/runner/Documents/ComfyUI
[2026-05-11 09:31:25.206] [info]  Validation result: isValid:true, state:installed {"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}
[2026-05-11 09:31:25.385] [info]  Server start
[2026-05-11 09:31:25.405] [info]  Running command: /Users/runner/Documents/ComfyUI/.venv/bin/python /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/ComfyUI/main.py --user-directory /Users/runner/Documents/ComfyUI/user --input-directory /Users/runner/Documents/ComfyUI/input --output-directory /Users/runner/Documents/ComfyUI/output --front-end-root /Users/runner/.comfy-test-cache/desktop/ComfyUI.app/Contents/Resources/ComfyUI/web_custom_versions/desktop_app --base-directory /Users/runner/Documents/ComfyUI --database-url sqlite:////Users/runner/Documents/ComfyUI/user/comfyui.db --extra-model-paths-config /Users/runner/Library/Application Support/ComfyUI/extra_models_config.yaml --log-stdout --listen 127.0.0.1 --port 8000 --enable-manager in /Users/runner/Documents/ComfyUI
[2026-05-11 09:31:25.462] [info]  Received renderer-ready message!
[2026-05-11 09:31:25.462] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.462] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.463] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.463] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.463] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.463] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.463] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.463] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.463] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.463] [info]  Sending queued message {"channel":"validation-update","data":{"inProgress":false,"installState":"installed","basePath":"OK","venvDirectory":"OK","pythonInterpreter":"OK","uv":"OK","pythonPackages":"OK","git":"OK","vcRedist":"skipped"}}
[2026-05-11 09:31:25.464] [info]  Sending queued message {"channel":"loading-progress","data":{"status":"starting-server"}}
[2026-05-11 09:31:33.489] [info]  Python server is ready
