# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.09,
1.0,5.17,
2.0,5.19,
3.0,5.22,
4.0,5.37,
5.0,5.37,
6.0,5.37,
7.0,5.37,
8.0,5.38,
9.0,5.37,
10.0,5.39,
11.0,5.54,
12.0,5.6,
13.0,5.63,
14.0,5.65,
15.0,5.66,
16.1,5.67,
17.1,5.69,
18.1,5.7,
19.1,5.72,
20.2,5.73,
21.2,6.16,
22.2,6.47,
23.2,6.78,
24.3,6.78,
25.3,6.92,
26.4,7.17,
27.4,7.35,
28.4,7.02,
29.4,6.6,
30.4,6.39,
31.4,6.29,
32.4,7.0,
33.4,8.32,
34.4,8.87,
35.4,8.87,
36.4,9.01,
37.4,8.83,
38.4,8.81,
39.4,8.87,
40.5,8.86,
41.5,8.75,
42.5,8.75,
43.5,8.74,
44.5,8.68,
45.5,8.67,
46.5,8.63,
47.5,8.73,
48.5,8.63,
49.5,8.62,
50.5,8.6,
51.5,8.59,
52.5,8.58,
53.5,8.57,
54.5,8.58,
55.5,8.64,
56.5,8.53,
57.5,8.52,
58.5,8.52,
59.5,8.53,
60.5,8.56,
61.5,8.44,
62.5,8.45,
63.5,8.44,
64.5,8.44,
65.5,8.46,
66.5,8.32,
67.5,8.27,
68.5,8.27,
69.5,8.24,
70.5,8.33,
71.5,8.27,
72.5,8.27,
73.5,8.28,
74.5,8.22,
75.5,8.26,
76.5,8.43,
77.5,8.27,
78.5,8.26,
79.5,8.26,
80.5,8.36,
81.5,8.26,
82.5,8.25,
83.5,8.26,
84.5,8.27,
85.5,8.25,
86.5,8.27,
87.5,8.27,
88.5,8.25,
89.5,8.25,
90.5,8.3,
91.5,8.25,
92.5,8.26,
93.5,8.29,
94.5,8.27,
95.5,8.37,
96.5,8.28,
97.5,8.27,
98.5,8.31,
99.5,8.29,
100.5,8.27,
101.5,8.32,
102.5,8.28,
103.5,8.28,
104.6,8.38,
105.6,8.29,
106.6,8.28,
107.6,8.46,
108.6,8.3,
109.6,8.28,
110.6,8.39,
111.6,8.31,
112.6,8.32,
113.6,8.47,
114.6,8.31,
115.6,8.3,
116.6,8.41,
117.6,8.32,
118.6,8.31,
119.6,8.42,
120.6,8.32,
121.6,8.31,
122.6,8.42,
123.6,8.32,
124.6,8.28,
125.6,8.4,
126.6,8.31,
127.6,8.29,
128.6,8.39,
129.6,8.31,
130.6,8.32,
131.6,8.41,
132.6,8.31,
133.6,8.32,
134.6,8.36,
135.6,8.31,
136.6,8.29,
137.6,8.27,
138.6,8.43,
139.6,8.29,
140.6,8.3,
141.6,8.41,
142.6,8.29,
143.6,8.31,
144.6,8.4,
145.6,8.31,
146.6,8.31,
147.6,8.3,
148.6,8.43,
149.6,8.31,
150.6,8.31,
151.6,8.29,
