# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,7.95,
1.0,7.73,
2.0,7.55,
3.0,7.67,
4.0,7.57,
5.0,7.57,
6.0,7.56,
7.0,5.61,
8.0,4.82,
9.0,4.84,
10.0,4.88,
11.0,4.92,
12.0,4.96,
13.0,5.02,
14.0,5.35,
15.0,5.65,
16.0,6.07,
17.0,6.45,
18.0,6.84,
19.0,7.18,
20.0,7.61,
21.0,7.82,
22.0,7.87,
23.0,7.9,
24.0,7.85,
25.0,7.88,
26.0,7.89,
27.0,7.98,
28.0,7.89,
29.0,7.88,
30.0,7.89,
31.0,7.91,
32.0,7.91,
33.0,7.9,
34.0,7.91,
35.0,7.9,
36.0,7.88,
37.0,7.89,
38.0,7.91,
39.0,7.98,
40.0,7.95,
41.0,7.95,
42.0,7.98,
43.0,7.95,
44.0,7.97,
45.0,7.99,
46.0,7.98,
47.0,7.99,
48.0,8.01,
49.0,7.97,
50.0,8.11,
51.0,7.97,
52.0,7.94,
53.0,7.97,
54.0,7.95,
55.0,7.96,
56.0,7.98,
57.0,8.06,
58.0,8.0,
59.1,7.98,
60.1,8.0,
61.1,8.01,
62.1,8.11,
63.1,8.02,
64.1,8.05,
65.1,8.01,
66.1,8.0,
67.1,8.02,
68.1,8.02,
69.1,8.12,
70.1,8.02,
71.1,8.0,
72.1,8.01,
73.1,8.02,
74.1,8.01,
75.1,8.03,
76.1,8.01,
77.1,8.12,
78.1,8.04,
79.1,8.04,
80.1,8.04,
81.1,8.02,
82.1,8.05,
83.1,8.06,
84.1,8.13,
85.1,8.05,
86.1,8.03,
87.1,8.06,
88.1,8.07,
89.1,8.21,
90.1,8.06,
91.1,8.09,
92.1,8.07,
93.1,8.06,
94.1,8.07,
95.1,8.09,
96.1,8.11,
97.1,8.24,
98.1,8.16,
99.1,8.17,
100.1,8.3,
101.1,8.16,
102.1,8.14,
103.1,8.15,
104.1,8.16,
105.1,8.24,
106.1,8.12,
107.1,8.06,
108.1,8.1,
109.1,8.07,
110.1,8.08,
111.1,8.17,
112.1,8.08,
113.1,8.09,
114.1,8.08,
115.1,8.06,
116.1,8.07,
117.1,8.08,
118.1,8.08,
119.1,8.09,
120.1,8.23,
121.1,8.11,
122.1,8.07,
123.1,8.09,
124.1,8.08,
125.1,8.1,
126.1,8.14,
127.1,8.1,
128.1,8.11,
129.1,8.1,
130.1,8.12,
131.1,8.14,
132.1,8.24,
133.1,8.14,
134.1,8.15,
135.1,8.14,
136.1,8.12,
137.1,8.14,
138.1,8.15,
139.1,8.24,
140.1,8.15,
141.1,8.15,
142.1,8.14,
143.1,8.19,
144.1,8.16,
145.1,8.15,
146.1,8.14,
147.1,8.11,
148.1,8.17,
149.1,8.16,
150.1,8.18,
151.1,8.29,
152.1,8.2,
153.2,8.21,
154.2,8.2,
155.2,8.29,
156.2,8.22,
157.2,8.22,
158.2,8.28,
159.2,8.22,
160.2,8.23,
161.2,8.21,
162.2,8.22,
163.2,8.29,
164.2,8.21,
165.2,8.26,
166.2,8.22,
167.2,8.2,
168.2,8.23,
169.2,8.22,
170.2,8.21,
171.2,8.2,
172.2,8.2,
173.2,8.22,
174.2,8.19,
175.2,8.16,
176.2,7.92,
177.2,7.92,
178.2,7.93,
179.2,7.93,
180.2,8.2,
181.2,8.57,
182.2,8.56,
183.2,8.59,
184.2,8.68,
185.2,8.74,
186.2,8.79,
187.2,8.7,
188.2,8.8,
189.2,8.97,
190.2,8.83,
191.2,8.88,
192.2,9.23,
193.2,9.35,
194.2,9.31,
195.2,9.28,
196.2,9.4,
197.2,10.36,
198.2,10.08,
199.2,9.83,
200.2,9.56,
201.2,9.67,
202.2,9.75,
203.2,9.85,
204.2,9.83,
205.2,9.69,
206.2,9.45,
207.2,9.55,
208.2,9.65,
209.2,9.75,
210.2,9.86,
211.2,9.55,
212.2,11.06,
213.2,11.27,
214.3,11.53,
215.3,11.59,
216.3,11.51,
217.3,11.5,
218.3,10.46,
219.3,11.05,
220.3,11.25,
221.3,11.46,
222.3,11.48,
223.3,11.47,
224.3,11.47,
225.3,10.88,
226.3,10.64,
227.3,9.39,
228.3,9.5,
229.3,9.49,
230.3,9.83,
231.3,11.29,
232.3,11.79,
233.3,11.31,
234.3,11.09,
235.3,9.31,
236.3,8.85,
237.3,8.83,
238.3,8.95,
239.3,9.17,
240.3,9.75,
241.3,9.34,
242.3,9.77,
243.3,9.67,
244.3,9.84,
245.3,10.57,
246.3,10.28,
247.3,10.67,
248.3,10.29,
249.3,10.04,
250.3,9.87,
251.3,10.14,
252.3,10.52,
253.3,10.61,
254.3,10.54,
255.3,10.17,
256.3,9.9,
257.3,9.68,
258.3,10.14,
259.3,9.92,
260.3,9.76,
261.3,9.55,
262.3,9.74,
263.3,9.84,
264.3,9.87,
265.3,8.6,
266.3,8.68,
267.3,8.7,
268.3,8.73,
269.3,8.77,
270.3,8.78,
271.3,8.48,
272.3,8.35,
273.3,8.4,
274.3,8.43,
275.3,8.45,
276.3,8.53,
277.3,8.51,
278.3,8.54,
279.3,8.57,
280.3,8.6,
281.3,8.6,
