# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,0.51,
1.0,0.51,
2.0,0.51,
3.0,0.51,
4.0,0.51,
5.0,0.51,
6.0,0.51,
7.0,0.51,
8.0,0.51,
9.0,0.51,
10.1,0.64,
11.1,0.72,
12.1,0.76,
13.1,0.81,
14.1,1.05,
15.2,1.12,
16.5,1.23,
17.6,1.28,
18.6,1.51,
19.6,1.65,
20.7,1.58,
21.7,0.97,
22.7,0.83,
23.7,0.86,
24.7,0.85,
25.7,0.87,
26.7,0.88,
27.7,0.89,
28.7,0.89,
29.7,0.91,
30.7,2.07,
31.7,3.53,
32.7,3.57,
33.7,3.76,
34.8,3.77,
35.8,3.9,
36.8,3.77,
37.8,3.83,
38.8,3.77,
39.8,3.77,
40.8,3.78,
41.8,3.89,
42.8,3.77,
43.8,3.76,
44.8,3.74,
45.8,3.79,
46.8,3.79,
47.8,3.79,
48.8,3.8,
49.8,3.88,
50.8,3.79,
51.9,3.82,
52.9,3.88,
53.9,3.82,
54.9,3.79,
55.9,3.81,
56.9,3.8,
57.9,3.82,
58.9,3.83,
59.9,3.98,
60.9,3.84,
61.9,3.85,
62.9,3.82,
63.9,3.8,
64.9,3.83,
65.9,3.84,
66.9,3.83,
68.0,3.84,
69.0,3.85,
70.0,3.85,
71.0,3.85,
72.0,3.93,
73.0,3.85,
74.0,3.91,
75.0,3.84,
76.0,3.82,
77.0,3.83,
78.0,3.85,
79.0,3.84,
80.0,3.84,
81.0,3.83,
82.0,3.94,
83.0,3.83,
84.0,3.81,
85.1,3.83,
86.1,3.85,
87.1,3.83,
88.1,3.84,
89.1,3.84,
90.1,3.83,
91.1,3.86,
92.1,3.99,
93.1,3.85,
94.1,3.83,
95.1,3.85,
96.1,3.86,
97.1,3.95,
98.1,3.86,
99.1,3.93,
100.1,3.86,
101.1,3.84,
102.2,3.86,
103.2,3.88,
104.2,3.97,
105.2,3.87,
106.2,3.86,
107.2,3.87,
108.2,3.89,
109.2,3.98,
110.2,3.88,
111.2,3.88,
112.2,3.89,
113.3,4.03,
