# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.73,
1.0,4.73,
2.0,4.74,
3.0,4.74,
4.0,4.74,
5.0,4.74,
6.0,4.74,
7.0,0.81,
8.0,0.89,
9.1,0.91,
10.1,0.95,
11.1,1.04,
12.1,1.07,
13.1,1.1,
14.1,1.12,
15.1,1.12,
16.1,1.13,
17.1,1.4,
18.1,1.78,
19.1,2.15,
20.1,2.54,
21.1,2.92,
22.1,3.31,
23.1,3.69,
24.1,4.03,
25.1,4.04,
26.1,4.09,
27.1,4.03,
28.1,4.05,
29.1,4.02,
30.1,4.16,
31.2,4.02,
32.2,4.06,
33.2,4.03,
34.2,4.06,
35.2,4.07,
36.2,4.17,
37.2,4.16,
38.2,4.17,
39.2,4.08,
40.2,4.04,
41.2,4.1,
42.3,4.14,
43.3,4.1,
44.3,4.07,
45.3,4.17,
46.3,4.27,
47.3,4.08,
48.3,4.13,
49.3,4.12,
50.4,4.29,
51.4,4.12,
52.4,4.15,
53.4,4.14,
54.4,4.16,
55.4,4.31,
56.4,4.14,
57.4,4.13,
58.5,4.16,
59.5,4.17,
60.5,4.15,
61.5,4.27,
62.5,4.25,
63.5,4.15,
64.6,4.18,
65.6,4.2,
66.6,4.14,
67.6,4.16,
68.7,4.19,
69.7,4.28,
70.7,4.17,
71.7,4.2,
72.7,4.2,
73.7,4.25,
74.8,4.24,
75.8,4.2,
76.8,4.25,
77.8,4.31,
78.8,4.32,
79.8,4.22,
80.8,4.22,
81.8,4.24,
82.8,4.2,
83.8,4.22,
84.8,4.3,
85.8,4.33,
86.8,4.27,
87.8,4.26,
88.8,4.26,
89.9,4.35,
90.9,4.24,
91.9,4.27,
92.9,4.26,
93.9,4.27,
94.9,4.44,
95.9,4.25,
96.9,4.27,
97.9,4.39,
98.9,4.25,
100.0,4.3,
101.0,4.29,
102.0,4.38,
103.0,4.27,
104.1,4.3,
105.1,4.29,
106.1,4.29,
107.1,4.42,
108.1,4.28,
109.1,4.31,
110.1,4.3,
111.1,4.33,
112.1,4.32,
113.2,4.27,
114.2,4.32,
115.2,4.32,
116.2,4.41,
117.2,4.34,
118.2,4.3,
119.2,4.33,
120.2,4.42,
121.2,4.32,
122.2,4.35,
123.2,4.35,
124.3,4.35,
125.3,4.51,
126.3,4.33,
127.3,4.36,
128.3,4.35,
129.4,4.35,
130.4,4.48,
131.4,4.36,
132.4,4.42,
133.4,4.36,
134.4,4.36,
135.4,4.35,
136.5,4.43,
137.5,4.32,
138.5,4.1,
139.5,4.09,
140.5,4.1,
141.5,4.71,
142.5,4.71,
143.5,4.83,
144.5,4.91,
145.5,5.17,
146.5,5.12,
147.6,5.12,
148.6,5.19,
149.6,5.66,
150.6,5.65,
151.6,5.81,
152.6,6.78,
153.6,6.78,
154.6,5.82,
155.6,6.0,
156.6,6.14,
157.6,6.28,
158.6,5.81,
159.6,5.95,
160.6,6.06,
161.6,5.59,
162.7,6.24,
163.7,7.26,
164.7,7.45,
165.7,7.62,
166.7,6.68,
167.7,7.22,
168.7,7.39,
169.7,7.57,
170.7,7.08,
171.7,7.12,
172.7,5.49,
173.7,5.68,
174.7,6.45,
175.8,7.68,
176.8,8.17,
177.8,6.08,
178.8,7.36,
179.8,5.05,
180.8,5.12,
181.8,5.18,
182.8,5.53,
183.8,5.7,
184.8,6.0,
185.8,6.03,
186.8,6.66,
187.8,6.57,
188.8,6.63,
189.8,5.52,
190.8,6.18,
191.8,6.27,
192.9,6.71,
193.9,6.64,
194.9,6.34,
195.9,6.12,
196.9,5.87,
197.9,6.01,
198.9,5.62,
199.9,5.75,
200.9,6.35,
201.9,6.3,
202.9,5.09,
203.9,4.86,
204.9,4.91,
205.9,4.93,
206.9,4.95,
207.9,4.97,
208.9,4.83,
210.0,4.49,
211.0,4.58,
212.0,4.61,
213.0,4.67,
214.0,4.73,
215.0,4.76,
216.0,4.92,
217.0,4.92,
218.2,4.92,
219.4,4.92,
220.5,4.91,
221.7,4.91,
222.8,4.91,
224.0,4.91,
225.3,4.91,
226.5,4.91,
227.6,4.91,
228.6,4.91,
229.6,4.89,
230.6,4.86,
231.7,4.85,
232.7,4.85,
233.7,4.85,
234.8,4.85,
235.8,4.85,
236.8,4.85,
237.8,4.83,
238.8,4.79,
239.9,4.76,
240.9,4.72,
241.9,4.69,
242.9,4.66,
244.0,4.65,
245.1,4.65,
246.1,4.63,
247.2,4.6,
248.2,4.59,
249.2,4.59,
250.2,4.59,
251.3,4.58,
252.3,4.55,
253.3,4.52,
254.4,4.5,
255.4,4.48,
256.4,4.45,
257.4,4.43,
258.4,4.42,
259.5,4.42,
260.5,4.42,
261.5,4.42,
262.5,4.42,
263.5,4.42,
264.6,4.42,
265.6,4.42,
266.6,4.42,
267.6,4.42,
268.7,4.42,
269.7,4.42,
270.7,4.42,
271.7,4.42,
272.8,4.42,
273.8,4.42,
274.8,4.42,
275.8,4.42,
276.9,4.42,
277.9,4.42,
278.9,4.39,
279.9,4.35,
280.9,4.31,
282.0,4.28,
283.0,4.24,
284.0,4.21,
285.0,4.17,
286.1,4.14,
287.1,4.1,
288.1,4.07,
289.1,4.04,
290.1,4.0,
