# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.67,
1.0,4.68,
2.0,4.68,
3.0,4.68,
4.0,4.67,
5.0,4.65,
6.0,4.63,
7.0,0.65,
8.0,0.78,
9.1,0.82,
10.1,0.85,
11.1,0.9,
12.1,0.95,
13.1,0.98,
14.1,0.99,
15.1,0.99,
16.1,1.3,
17.1,1.67,
18.1,2.06,
19.1,2.45,
20.1,2.82,
21.1,3.2,
22.1,3.59,
23.1,3.85,
24.1,3.86,
25.1,3.81,
26.1,3.86,
27.1,3.85,
28.1,3.86,
29.2,3.95,
30.2,3.86,
31.2,3.86,
32.2,3.85,
33.2,3.91,
34.2,3.86,
35.2,3.86,
36.3,3.87,
37.3,3.92,
38.3,3.87,
39.3,3.88,
40.3,3.85,
41.3,4.01,
42.3,3.9,
43.4,3.91,
44.4,3.88,
45.4,3.95,
46.4,3.89,
47.4,3.92,
48.4,3.89,
49.4,3.9,
50.5,3.91,
51.5,3.9,
52.5,3.99,
53.5,3.92,
54.5,3.87,
55.5,4.04,
56.5,3.92,
57.5,3.93,
58.5,3.91,
59.5,4.02,
60.5,3.94,
61.6,3.92,
62.6,3.94,
63.6,3.95,
64.6,3.94,
65.6,3.96,
66.6,3.95,
67.6,3.96,
68.6,3.93,
69.6,3.96,
70.6,3.94,
71.7,3.96,
72.7,3.94,
73.7,3.97,
74.7,3.95,
75.7,3.97,
76.7,3.93,
77.7,3.96,
78.7,3.96,
79.7,3.97,
80.7,3.99,
81.7,3.99,
82.7,4.0,
83.7,3.99,
84.7,3.98,
85.7,4.0,
86.7,4.01,
87.7,4.0,
88.7,4.01,
89.7,3.98,
90.7,4.02,
91.8,4.01,
92.8,3.98,
93.8,4.12,
94.8,4.04,
95.8,4.1,
96.8,4.04,
97.8,4.13,
98.8,4.04,
99.8,4.12,
100.8,4.04,
101.8,4.03,
102.8,4.11,
103.8,4.04,
104.8,4.02,
105.9,4.21,
106.9,4.05,
107.9,4.06,
108.9,4.06,
109.9,4.05,
110.9,4.07,
111.9,4.08,
113.0,4.05,
114.0,4.23,
115.0,4.06,
116.0,4.07,
117.0,4.05,
118.0,4.16,
119.0,4.07,
120.0,4.08,
121.1,4.13,
122.1,4.08,
123.1,4.09,
124.1,4.13,
125.1,4.08,
126.1,4.1,
127.1,4.14,
128.2,4.09,
129.3,4.09,
130.3,4.1,
131.3,4.08,
132.3,4.1,
133.3,4.08,
134.3,4.1,
135.3,4.09,
136.3,4.11,
137.3,4.09,
138.3,4.11,
139.3,4.13,
140.3,4.12,
141.4,4.1,
142.4,4.12,
143.4,4.11,
144.4,4.12,
145.4,4.11,
146.4,4.14,
147.4,4.11,
148.4,4.14,
149.4,4.15,
150.4,4.14,
151.4,4.09,
152.4,4.15,
153.4,4.12,
154.4,4.15,
155.4,4.14,
156.4,4.12,
157.4,4.16,
158.4,4.11,
159.5,4.17,
160.5,4.18,
161.5,4.17,
162.5,4.23,
163.5,4.28,
164.5,4.19,
165.5,4.14,
166.5,4.15,
167.5,4.15,
168.5,4.17,
169.5,4.18,
170.5,4.18,
171.5,4.24,
172.5,4.16,
173.6,4.18,
174.6,4.17,
175.6,3.99,
176.6,3.9,
177.6,3.9,
178.6,3.9,
179.6,3.89,
180.7,3.89,
181.7,4.46,
182.7,4.71,
183.7,4.55,
184.7,4.61,
185.8,4.65,
186.8,4.7,
187.9,5.01,
188.9,4.65,
189.9,4.72,
190.9,4.89,
192.0,4.8,
193.0,4.84,
194.0,5.12,
195.0,5.22,
196.1,5.1,
197.1,5.19,
198.2,5.15,
199.2,6.03,
200.2,5.76,
201.2,6.02,
202.3,5.39,
203.3,5.49,
204.3,5.59,
205.3,5.69,
206.3,5.78,
207.3,5.3,
208.3,5.41,
209.3,5.51,
210.3,5.61,
211.3,5.71,
212.3,5.82,
213.4,5.63,
214.4,7.02,
215.4,7.28,
216.4,7.51,
217.4,7.51,
218.4,7.51,
219.4,7.5,
220.4,6.81,
221.4,7.17,
222.4,7.4,
223.4,7.49,
224.4,7.49,
225.4,7.48,
226.5,6.51,
227.5,6.87,
228.5,5.37,
229.5,5.5,
230.5,5.5,
231.5,5.97,
232.5,7.44,
233.5,7.99,
234.5,6.92,
235.5,7.18,
236.6,4.81,
237.6,4.88,
238.6,4.92,
239.6,5.23,
240.6,5.5,
241.6,5.2,
242.6,5.73,
243.6,5.61,
244.7,5.8,
245.7,6.43,
246.7,6.67,
247.7,6.45,
248.7,6.65,
249.7,5.87,
250.8,5.91,
251.8,6.13,
252.8,5.98,
253.8,6.12,
254.8,6.58,
255.8,6.29,
256.8,6.6,
257.8,6.12,
258.8,5.92,
