# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.9,
1.0,0.91,
2.0,0.91,
3.0,0.91,
4.1,0.91,
5.1,0.91,
6.1,0.91,
7.1,1.06,
8.1,1.4,
9.1,1.56,
10.1,1.59,
11.1,1.63,
12.1,1.75,
13.1,1.87,
14.1,1.84,
15.1,1.96,
16.2,2.08,
17.2,2.1,
18.2,2.22,
19.2,2.3,
20.2,2.42,
21.2,2.54,
22.2,2.65,
23.2,2.78,
24.2,2.89,
25.2,3.01,
26.2,2.75,
27.2,2.68,
28.3,2.68,
29.3,2.79,
30.3,2.72,
31.3,2.78,
32.3,2.46,
33.3,1.88,
34.3,2.06,
35.3,2.13,
36.3,2.13,
37.3,2.13,
38.3,2.13,
39.3,2.13,
40.4,2.13,
41.4,2.13,
42.4,2.13,
43.4,2.13,
44.4,2.13,
45.4,2.25,
46.4,2.27,
47.4,2.36,
48.4,2.47,
49.4,2.47,
50.5,2.52,
51.5,2.64,
52.5,2.76,
53.5,2.81,
54.5,2.93,
55.5,2.99,
56.5,2.67,
57.5,2.71,
58.5,2.72,
59.5,2.88,
60.5,3.03,
61.6,3.17,
62.6,3.17,
63.6,3.2,
64.6,3.22,
65.6,3.28,
66.6,3.34,
67.6,3.42,
68.6,3.46,
69.7,3.53,
70.7,3.9,
71.7,4.12,
72.7,4.39,
73.7,4.47,
74.7,4.5,
75.7,4.52,
76.7,4.54,
77.7,4.56,
78.7,4.58,
79.7,4.58,
80.8,4.62,
81.8,5.35,
82.8,6.47,
83.8,5.42,
84.8,6.05,
85.8,6.43,
86.8,6.55,
87.8,6.69,
88.9,6.8,
89.9,6.96,
90.9,7.06,
91.9,7.18,
92.9,7.3,
93.9,7.44,
94.9,7.55,
95.9,7.66,
96.9,7.77,
98.0,7.89,
99.0,7.87,
100.0,8.08,
101.0,6.99,
102.0,7.12,
103.0,7.69,
104.0,9.08,
105.0,9.74,
106.0,9.81,
107.1,9.91,
108.1,9.96,
109.1,9.97,
110.1,10.08,
111.1,9.99,
112.1,10.06,
113.2,10.0,
114.2,10.02,
115.2,10.0,
116.2,10.03,
117.2,10.01,
118.2,9.97,
119.2,9.98,
120.2,9.97,
121.2,9.98,
122.2,9.98,
123.3,9.98,
124.3,9.97,
125.3,9.98,
126.3,9.91,
127.3,9.66,
128.3,10.45,
129.3,10.12,
130.3,10.89,
131.4,11.53,
132.4,12.16,
133.4,12.01,
134.4,12.01,
135.4,10.0,
136.4,10.71,
137.4,10.73,
138.5,10.73,
139.5,10.76,
140.5,10.75,
141.5,10.79,
142.5,10.7,
143.5,10.79,
144.5,10.7,
145.5,10.72,
146.6,10.83,
147.6,10.72,
148.6,10.7,
149.6,10.73,
150.6,10.73,
151.6,10.79,
152.6,11.62,
153.7,10.04,
154.7,10.3,
155.7,10.32,
156.7,10.33,
157.7,10.35,
158.7,10.46,
159.7,10.32,
160.8,9.36,
161.8,9.52,
162.8,9.52,
163.8,10.87,
164.8,10.84,
165.8,9.53,
166.8,9.53,
167.9,9.53,
168.9,10.89,
169.9,10.84,
170.9,9.53,
171.9,9.53,
172.9,9.53,
174.0,10.77,
175.0,10.85,
176.0,9.54,
177.0,9.54,
178.0,9.54,
179.0,9.59,
180.1,10.85,
181.1,9.54,
182.1,9.54,
183.1,9.54,
184.1,9.54,
185.1,10.88,
186.2,10.49,
187.2,9.54,
188.2,9.54,
189.2,9.54,
190.2,10.9,
191.2,9.4,
192.3,9.47,
193.3,9.56,
194.3,9.59,
195.3,9.67,
196.3,9.75,
197.3,9.83,
198.3,9.91,
199.3,9.96,
200.3,10.03,
201.3,10.09,
202.4,11.32,
203.4,12.38,
204.4,11.68,
205.4,11.76,
206.4,11.82,
207.4,11.9,
208.4,12.0,
209.4,12.06,
210.5,12.14,
211.5,12.22,
212.5,12.29,
213.5,12.36,
214.5,12.4,
215.5,13.44,
216.5,14.51,
217.5,13.89,
218.5,14.01,
219.5,14.06,
220.5,14.13,
221.6,14.22,
222.6,14.26,
223.6,14.35,
224.6,14.42,
225.6,14.46,
226.6,14.54,
227.6,14.6,
228.7,15.64,
229.7,16.7,
230.7,16.59,
231.7,16.62,
232.7,16.98,
233.7,16.97,
234.7,16.68,
235.7,17.03,
236.7,17.05,
237.8,16.74,
238.8,17.07,
239.8,17.09,
240.8,16.75,
241.8,17.12,
242.8,17.13,
243.9,16.82,
244.9,17.16,
245.9,17.18,
246.9,16.84,
247.9,17.2,
248.9,17.22,
249.9,16.91,
250.9,17.25,
252.0,17.27,
