# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.9,
1.0,0.9,
2.0,0.91,
3.0,0.91,
4.1,0.91,
5.1,0.91,
6.1,0.91,
7.1,0.91,
8.1,1.0,
9.1,1.27,
10.2,1.4,
11.2,1.44,
12.2,1.52,
13.2,1.59,
14.4,1.63,
15.4,1.69,
16.4,1.81,
17.4,1.93,
18.4,1.96,
19.4,1.9,
20.5,2.02,
21.5,2.14,
22.5,2.26,
23.5,2.19,
24.5,2.31,
25.5,2.24,
26.6,2.23,
27.6,2.36,
28.6,2.48,
29.6,2.53,
30.6,2.59,
31.6,2.64,
32.6,2.76,
33.7,2.82,
34.7,2.94,
35.7,2.8,
36.7,2.73,
37.7,2.24,
38.7,1.65,
39.8,1.66,
40.8,1.67,
41.8,1.7,
42.8,1.7,
43.8,1.71,
44.8,1.72,
45.8,1.73,
46.9,1.73,
47.9,1.74,
48.9,2.55,
49.9,3.88,
50.9,4.4,
51.9,4.66,
52.9,4.68,
54.0,4.68,
55.0,4.68,
56.0,5.56,
57.0,7.13,
58.0,7.31,
59.0,7.57,
60.1,7.87,
61.1,8.02,
62.1,8.05,
63.1,8.26,
64.1,8.32,
65.1,8.35,
66.1,8.35,
67.1,8.35,
68.2,8.35,
69.2,8.35,
70.2,8.35,
71.2,8.35,
72.2,8.35,
73.2,8.35,
74.2,8.35,
75.2,8.35,
76.3,8.35,
77.3,8.35,
78.3,8.35,
79.3,8.35,
80.3,8.35,
81.3,8.35,
82.3,8.35,
83.4,8.35,
84.4,8.35,
85.4,8.35,
86.4,8.35,
87.4,8.35,
88.4,8.35,
89.4,8.35,
90.5,8.35,
91.5,8.35,
92.5,8.35,
93.5,8.35,
94.5,8.35,
95.5,8.35,
96.5,8.35,
97.5,8.35,
98.6,8.35,
99.6,8.35,
100.6,8.35,
101.6,8.35,
102.6,8.35,
103.6,8.35,
104.6,8.35,
105.6,8.35,
106.6,8.35,
107.6,8.35,
108.7,8.35,
109.7,8.35,
110.7,8.35,
111.7,8.35,
112.7,8.35,
113.7,8.35,
114.7,8.35,
115.7,8.35,
116.8,8.35,
117.8,8.35,
118.8,8.35,
119.8,8.35,
120.8,8.35,
121.8,8.35,
122.8,8.35,
123.9,8.35,
124.9,8.35,
125.9,8.35,
126.9,8.35,
127.9,8.35,
128.9,8.35,
129.9,8.35,
130.9,8.35,
131.9,8.35,
133.0,8.35,
134.0,8.35,
135.0,8.35,
