# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,16.89,
1.0,16.89,
2.0,16.89,
3.0,16.89,
4.0,16.89,
5.1,16.89,
6.1,8.48,
7.1,8.55,
8.1,8.73,
9.1,8.79,
10.1,8.81,
11.1,8.92,
12.1,11.0,
13.1,11.26,
14.2,11.26,
15.2,11.42,
16.2,13.91,
17.2,13.7,
18.2,14.12,
19.2,14.19,
20.2,14.19,
21.2,14.19,
22.3,14.19,
23.3,14.19,
24.3,14.19,
25.3,14.19,
26.3,14.19,
27.3,14.19,
28.3,14.19,
29.3,14.19,
30.4,14.19,
31.4,14.19,
32.4,14.19,
33.4,14.19,
34.4,14.19,
35.4,14.19,
36.4,14.19,
37.4,14.19,
38.5,14.19,
39.5,14.19,
40.5,14.19,
41.5,14.19,
42.5,14.19,
43.5,14.19,
44.5,14.19,
45.5,14.19,
46.6,14.19,
47.6,14.19,
48.6,14.19,
49.6,14.19,
50.6,14.19,
51.6,14.19,
52.6,14.19,
53.6,14.19,
