# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.38,
1.0,1.38,
2.0,1.38,
3.0,1.38,
4.0,1.38,
5.1,1.38,
6.1,1.38,
7.1,1.38,
8.1,1.38,
9.3,1.38,
10.3,1.46,
11.3,1.83,
12.3,1.91,
13.3,1.93,
14.3,1.94,
15.3,1.96,
16.3,1.98,
17.4,1.98,
18.4,1.98,
19.4,1.98,
20.4,1.98,
21.4,2.0,
22.4,2.18,
23.5,2.24,
24.6,2.34,
25.6,2.55,
26.7,2.68,
27.8,2.71,
29.0,2.97,
30.1,2.97,
31.1,2.73,
32.1,2.16,
33.1,2.01,
34.1,2.01,
35.1,2.01,
36.1,2.01,
37.1,2.01,
38.1,2.01,
39.1,2.01,
40.2,2.02,
41.2,2.02,
42.2,2.02,
43.2,2.02,
44.2,2.02,
45.2,2.02,
46.2,2.02,
47.2,2.04,
48.2,2.04,
49.2,2.05,
50.2,2.05,
51.2,2.06,
52.2,2.06,
53.2,2.06,
54.3,2.06,
55.3,2.06,
56.3,2.06,
57.3,2.07,
58.4,2.06,
59.4,2.07,
60.4,2.08,
61.4,2.82,
62.4,4.69,
63.4,4.89,
64.4,5.05,
65.4,4.9,
66.4,4.95,
67.4,4.9,
68.4,4.88,
69.5,4.89,
70.5,4.89,
71.5,4.88,
72.5,5.01,
73.5,4.89,
74.5,4.88,
75.5,4.91,
76.5,4.9,
77.5,4.89,
78.5,4.96,
79.5,4.91,
80.5,4.9,
81.5,4.87,
82.5,4.89,
83.5,5.01,
84.6,4.87,
85.6,4.85,
86.6,5.0,
87.6,4.84,
88.6,4.82,
89.6,4.84,
90.6,4.92,
91.6,4.81,
92.6,4.84,
93.6,4.96,
94.6,4.86,
95.6,4.85,
96.7,4.86,
97.7,4.94,
98.7,4.85,
99.7,4.82,
100.7,4.83,
101.7,4.85,
102.7,5.02,
103.7,4.86,
104.7,4.85,
105.7,4.83,
106.7,4.85,
107.7,4.86,
108.7,4.86,
109.7,4.86,
110.7,4.84,
111.7,4.86,
112.7,5.01,
113.8,4.87,
114.8,4.86,
115.8,4.89,
116.8,4.87,
117.8,4.87,
118.8,4.85,
119.8,4.87,
120.8,4.94,
121.8,4.88,
122.8,4.88,
123.8,4.87,
124.8,4.88,
125.8,4.89,
126.8,4.88,
127.8,4.86,
128.8,4.87,
129.9,4.98,
130.9,4.89,
131.9,4.88,
132.9,4.87,
133.9,4.88,
134.9,4.96,
135.9,4.89,
136.9,4.89,
137.9,4.87,
138.9,4.88,
139.9,4.88,
141.0,4.89,
142.0,4.87,
143.0,4.9,
144.0,4.98,
145.0,4.9,
146.0,4.86,
147.0,4.87,
148.0,4.89,
149.0,4.94,
150.0,4.91,
151.0,4.89,
152.0,4.87,
153.0,4.89,
154.0,4.88,
155.0,4.91,
156.0,4.88,
157.1,4.89,
158.1,4.87,
159.1,4.88,
160.1,4.86,
161.1,4.87,
162.1,4.85,
163.1,4.86,
164.1,4.85,
165.1,4.86,
166.1,4.99,
167.1,4.82,
168.1,4.84,
169.1,4.92,
170.1,4.84,
171.2,4.84,
172.2,4.82,
173.2,4.85,
174.2,4.83,
175.2,4.82,
176.2,4.83,
177.2,4.91,
178.2,4.79,
179.2,4.82,
180.2,4.82,
181.2,4.79,
182.2,4.8,
183.2,4.86,
184.2,4.81,
185.3,4.79,
186.3,4.79,
187.3,4.79,
188.3,4.79,
189.3,4.79,
190.3,4.8,
191.3,4.79,
192.3,4.79,
193.3,4.78,
194.3,4.9,
195.3,4.85,
196.3,4.76,
197.4,4.76,
198.4,4.5,
199.4,4.5,
200.4,4.49,
201.4,4.5,
202.4,4.48,
203.4,4.63,
204.4,5.14,
205.4,5.09,
206.4,5.17,
207.4,5.16,
208.4,5.22,
209.4,5.14,
210.4,5.1,
211.5,5.18,
212.5,5.2,
213.5,5.18,
214.5,5.14,
215.5,5.29,
216.5,5.38,
217.5,5.3,
218.5,5.61,
219.5,5.69,
220.5,5.64,
221.5,5.38,
222.5,6.35,
223.5,6.13,
224.6,6.41,
225.6,5.62,
226.6,5.72,
227.6,5.79,
228.6,5.86,
229.6,5.97,
230.6,6.08,
231.6,5.61,
232.6,5.73,
233.6,5.85,
234.6,5.97,
235.6,5.67,
236.7,7.01,
237.7,7.44,
238.7,7.73,
239.7,7.74,
240.7,7.73,
241.7,7.73,
242.7,7.25,
243.7,7.46,
244.7,7.72,
245.7,7.72,
246.7,7.71,
247.7,7.59,
248.7,6.96,
249.8,5.58,
250.8,5.73,
251.8,5.69,
252.8,6.45,
253.8,7.88,
254.8,6.35,
255.8,7.36,
256.8,4.97,
257.8,5.08,
258.8,5.12,
259.8,5.45,
260.8,6.01,
261.8,5.85,
262.8,5.97,
263.9,6.01,
264.9,6.73,
265.9,6.39,
266.9,6.89,
267.9,5.39,
268.9,6.27,
269.9,6.11,
270.9,6.32,
271.9,6.79,
272.9,6.63,
273.9,6.88,
274.9,5.47,
276.0,5.74,
277.0,6.3,
278.0,6.1,
279.0,6.09,
280.0,5.92,
281.0,6.46,
282.0,6.34,
283.0,4.89,
284.0,4.94,
285.0,4.97,
286.0,4.98,
287.0,4.99,
288.0,5.02,
289.1,5.02,
290.1,4.78,
291.1,4.8,
292.1,4.97,
293.1,5.13,
294.1,5.18,
295.1,5.2,
296.1,5.21,
297.1,5.21,
298.1,5.19,
299.1,5.17,
300.1,5.17,
301.1,5.25,
302.1,5.28,
303.1,5.31,
304.1,5.33,
305.1,5.43,
306.2,5.43,
307.2,5.43,
308.2,5.43,
309.2,5.43,
310.2,5.43,
311.2,5.43,
312.3,5.43,
313.3,5.42,
314.4,5.42,
315.5,5.42,
316.6,5.42,
317.6,5.42,
318.7,5.42,
319.7,5.42,
320.7,5.42,
321.7,5.42,
322.7,5.41,
323.8,5.4,
324.8,5.37,
325.8,5.36,
326.8,5.34,
327.8,5.33,
328.8,5.33,
329.9,5.33,
330.9,5.33,
331.9,5.33,
332.9,5.33,
333.9,5.33,
335.0,5.33,
336.0,5.33,
337.0,5.33,
338.0,5.32,
339.0,5.32,
340.0,5.32,
341.1,5.32,
342.1,5.32,
343.1,5.32,
344.1,5.32,
345.1,5.32,
346.1,5.31,
347.2,5.28,
