# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,8.01,
1.0,7.73,
2.0,7.61,
3.0,7.53,
4.0,7.6,
5.0,7.6,
6.0,7.6,
7.0,5.04,
8.0,5.21,
9.0,5.29,
10.0,5.31,
11.0,5.34,
12.0,5.37,
13.0,5.42,
14.0,5.54,
15.0,5.46,
16.0,5.69,
17.0,6.09,
18.0,6.48,
19.0,6.85,
20.0,7.3,
21.0,7.65,
22.0,8.0,
23.0,8.34,
24.0,8.49,
25.0,8.4,
26.1,8.38,
27.1,8.4,
28.1,8.4,
29.1,8.54,
30.1,8.41,
31.1,8.39,
32.1,8.5,
33.1,8.42,
34.1,8.42,
35.1,8.41,
36.1,8.39,
37.1,8.41,
38.1,8.4,
39.1,8.41,
40.1,8.39,
41.1,8.6,
42.1,8.45,
43.1,8.58,
44.1,8.45,
45.1,8.45,
46.1,8.45,
47.1,8.44,
48.1,8.46,
49.1,8.46,
50.1,8.46,
51.1,8.46,
52.1,8.42,
53.1,8.43,
54.1,8.49,
55.1,8.48,
56.1,8.56,
57.1,8.48,
58.1,8.48,
59.1,8.49,
60.1,8.47,
61.1,8.48,
62.2,8.48,
63.2,8.49,
64.2,8.5,
65.2,8.65,
66.2,8.51,
67.2,8.51,
68.2,8.5,
69.2,8.48,
70.2,8.5,
71.2,8.49,
72.2,8.49,
73.2,8.46,
74.2,8.67,
75.2,8.53,
76.2,8.55,
77.2,8.52,
78.2,8.51,
79.2,8.53,
80.2,8.51,
81.2,8.53,
82.2,8.53,
83.2,8.54,
84.2,8.55,
85.2,8.63,
86.2,8.55,
87.2,8.63,
88.2,8.56,
89.2,8.64,
90.2,8.56,
91.2,8.56,
92.2,8.56,
93.2,8.55,
94.2,8.56,
95.2,8.55,
96.2,8.56,
97.2,8.55,
98.2,8.57,
99.2,8.56,
100.2,8.58,
101.2,8.55,
102.2,8.55,
103.2,8.56,
104.3,8.6,
105.3,8.6,
106.3,8.69,
107.3,8.62,
108.3,8.75,
109.3,8.61,
110.3,8.75,
111.3,8.62,
112.3,8.73,
113.3,8.63,
114.3,8.74,
115.3,8.64,
116.3,8.73,
117.3,8.63,
118.3,8.71,
119.3,8.62,
120.3,8.7,
121.3,8.62,
122.3,8.62,
123.3,8.64,
124.3,8.62,
125.3,8.63,
126.3,8.63,
127.3,8.64,
128.3,8.65,
129.3,8.64,
130.3,8.64,
131.3,8.74,
132.3,8.66,
133.3,8.75,
134.3,8.66,
135.3,8.78,
136.3,8.67,
137.3,8.66,
138.4,8.76,
139.4,8.7,
140.4,8.68,
141.4,8.69,
142.4,8.66,
143.4,8.68,
144.4,8.71,
145.4,8.71,
146.4,8.7,
147.4,8.78,
148.4,8.71,
149.4,8.79,
150.4,8.7,
151.4,8.85,
152.4,8.72,
153.4,8.81,
154.4,8.72,
155.4,8.7,
156.4,8.73,
157.4,8.74,
158.4,8.73,
159.4,8.73,
160.4,8.72,
161.4,8.72,
162.4,8.64,
163.4,8.6,
164.4,8.57,
165.4,8.61,
166.4,8.68,
