# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.9,
1.0,0.91,
2.0,0.91,
3.0,0.91,
4.0,0.91,
5.1,0.91,
6.1,0.91,
7.1,0.98,
8.1,1.33,
9.1,1.48,
10.1,1.52,
11.1,1.56,
12.1,1.68,
13.2,1.8,
14.2,1.65,
15.2,1.76,
16.2,1.88,
17.2,1.94,
18.2,2.05,
19.2,2.17,
20.2,2.04,
21.2,2.16,
22.2,2.22,
23.2,2.33,
24.3,2.26,
25.3,2.38,
26.3,2.38,
27.3,2.49,
28.3,2.61,
29.3,2.73,
30.3,2.47,
31.3,2.53,
32.4,2.59,
33.4,2.25,
34.4,1.84,
35.4,1.97,
36.4,1.99,
37.4,1.99,
38.4,1.99,
39.4,1.99,
40.5,1.99,
41.5,1.99,
42.5,1.99,
43.5,1.99,
44.5,1.99,
45.5,2.11,
46.5,2.13,
47.5,2.2,
48.6,2.32,
49.6,2.43,
50.6,2.3,
51.6,2.36,
52.6,2.48,
53.6,2.6,
54.6,2.71,
55.6,2.64,
56.6,2.64,
57.6,2.31,
58.7,2.63,
59.7,2.76,
60.7,2.9,
61.7,3.1,
62.7,3.05,
63.7,3.08,
64.7,3.09,
65.7,3.1,
66.8,3.18,
67.8,3.24,
68.8,3.29,
69.8,3.36,
70.8,3.41,
71.8,4.26,
72.8,3.99,
73.8,4.25,
74.8,4.34,
75.9,4.36,
76.9,4.38,
77.9,4.39,
78.9,4.42,
79.9,4.44,
80.9,4.45,
81.9,4.49,
82.9,5.73,
83.9,6.43,
84.9,5.11,
85.9,6.06,
87.0,6.28,
88.0,6.43,
89.0,6.54,
90.0,6.65,
91.0,6.8,
92.0,6.91,
93.1,7.02,
94.1,7.14,
95.1,7.28,
96.1,7.4,
97.1,7.51,
98.1,7.62,
99.1,7.73,
100.2,9.11,
101.2,9.21,
102.2,10.54,
103.2,11.63,
104.2,11.89,
105.2,11.96,
106.2,12.03,
107.2,12.03,
108.3,12.02,
109.3,12.04,
110.3,12.01,
111.3,12.15,
112.3,12.03,
113.3,12.02,
114.3,12.02,
115.3,12.03,
116.4,12.03,
117.4,12.02,
118.4,12.03,
119.4,12.1,
120.4,12.1,
121.4,12.01,
122.5,12.06,
123.5,11.77,
124.5,11.89,
125.5,11.95,
126.5,12.43,
127.5,12.1,
128.5,13.28,
129.5,13.53,
130.5,13.99,
131.6,13.98,
132.6,13.43,
133.6,12.37,
134.6,12.64,
135.6,12.76,
136.6,12.74,
137.6,12.72,
138.7,12.69,
139.7,12.78,
140.7,12.73,
141.7,12.72,
142.7,12.77,
143.7,12.68,
144.7,12.68,
145.8,12.69,
146.8,12.84,
147.8,12.68,
148.8,12.68,
149.8,12.0,
150.8,12.23,
151.8,12.28,
152.9,12.3,
153.9,12.31,
154.9,12.32,
155.9,12.42,
156.9,10.59,
157.9,11.88,
158.9,11.29,
159.9,10.65,
161.0,10.65,
162.0,10.65,
163.0,10.66,
164.0,10.65,
165.0,10.65,
166.0,12.0,
167.0,11.96,
168.0,11.94,
169.1,10.66,
170.1,10.66,
171.1,10.66,
172.1,10.66,
173.1,10.65,
174.1,10.66,
175.1,12.01,
176.2,11.97,
177.2,11.97,
178.2,10.65,
179.2,10.65,
180.2,10.66,
181.2,10.65,
182.2,10.66,
183.3,10.66,
184.3,10.66,
185.3,10.53,
186.3,10.62,
187.3,10.68,
188.3,10.74,
189.3,10.82,
190.4,10.91,
191.4,10.97,
192.4,11.02,
193.4,11.1,
194.4,11.14,
195.4,11.63,
196.4,12.76,
197.4,12.8,
198.5,12.91,
199.5,12.98,
200.5,13.01,
201.5,13.06,
202.5,13.2,
203.5,13.29,
204.5,13.35,
205.5,13.38,
206.6,13.46,
207.6,13.5,
208.6,14.62,
209.6,14.38,
210.6,15.06,
211.6,15.15,
212.6,15.23,
213.7,15.3,
214.7,15.34,
215.7,15.42,
216.7,15.48,
217.7,15.55,
218.7,15.65,
219.7,15.74,
220.8,16.7,
221.8,17.95,
222.8,17.71,
223.8,17.73,
224.8,18.1,
225.8,18.12,
226.8,17.8,
227.9,18.14,
228.9,18.16,
229.9,17.82,
230.9,18.19,
231.9,18.21,
232.9,17.9,
233.9,18.23,
234.9,18.25,
235.9,17.94,
237.0,18.28,
238.0,18.29,
239.0,17.99,
240.0,18.32,
241.0,18.34,
242.0,18.05,
243.0,18.36,
244.0,18.38,
245.0,18.07,
246.1,18.41,
247.1,18.43,
248.1,18.86,
249.1,20.8,
250.1,20.97,
251.1,13.89,
252.1,13.46,
