# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.88,
1.0,0.89,
2.0,0.89,
3.0,0.89,
4.0,0.89,
5.1,0.89,
6.1,0.89,
7.1,1.31,
8.1,1.43,
9.1,1.58,
10.1,1.6,
11.1,1.65,
12.5,1.81,
13.5,1.92,
14.5,1.9,
15.5,1.89,
16.5,2.01,
17.5,2.13,
18.5,2.24,
19.5,2.18,
20.6,2.29,
21.6,2.41,
22.6,2.53,
23.6,2.52,
24.6,2.33,
25.6,2.39,
26.6,2.51,
27.7,2.63,
28.7,2.62,
29.7,2.74,
30.7,2.86,
31.7,2.97,
32.7,2.53,
33.8,1.78,
34.8,1.63,
35.8,1.66,
36.8,1.68,
37.8,1.69,
38.8,1.71,
39.8,1.72,
40.9,1.73,
41.9,4.08,
42.9,4.11,
43.9,4.12,
44.9,4.19,
45.9,6.49,
46.9,6.75,
47.9,7.38,
49.0,7.51,
50.0,7.75,
51.0,7.79,
52.0,7.79,
53.0,7.79,
54.0,7.79,
55.0,7.79,
56.0,7.79,
57.0,7.79,
58.0,7.79,
59.1,7.79,
60.1,7.79,
61.1,7.79,
62.1,7.79,
63.1,7.79,
64.1,7.79,
65.1,7.79,
66.1,7.79,
67.1,7.79,
68.2,7.79,
69.2,7.79,
70.2,7.79,
71.2,7.79,
72.2,7.79,
73.2,7.79,
74.2,7.79,
75.2,7.79,
76.3,7.79,
77.3,7.79,
78.3,7.79,
79.3,7.79,
80.3,7.79,
81.3,7.79,
82.3,7.79,
83.3,7.79,
84.4,7.79,
