# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,5.72,
1.0,2.12,
2.0,2.23,
3.0,2.25,
4.1,2.36,
5.1,2.36,
6.1,2.36,
7.1,2.39,
8.1,2.47,
9.1,2.52,
10.1,2.55,
11.1,4.09,
12.2,5.24,
13.2,3.54,
14.2,2.82,
15.2,2.83,
16.2,4.41,
17.2,5.48,
18.2,5.06,
19.3,5.38,
20.3,5.41,
21.3,5.62,
22.3,5.67,
23.3,6.47,
24.3,8.33,
25.3,8.33,
26.3,8.33,
27.4,8.33,
28.4,8.33,
29.4,8.33,
30.4,8.33,
31.4,8.33,
32.4,8.33,
33.4,8.33,
34.5,8.33,
35.5,8.33,
36.5,8.33,
37.5,8.33,
38.5,8.33,
39.5,8.33,
40.5,8.33,
41.5,8.33,
42.5,8.33,
43.6,8.33,
44.6,8.33,
45.6,8.33,
46.6,8.33,
47.6,8.33,
48.6,8.33,
49.6,8.33,
50.7,8.33,
51.7,8.33,
52.7,8.33,
53.7,8.33,
54.7,8.33,
55.7,8.33,
56.8,8.33,
57.8,8.33,
58.8,8.33,
59.8,8.33,
60.8,8.33,
61.8,8.33,
62.8,8.33,
63.8,8.33,
64.8,8.33,
65.9,8.33,
66.9,8.33,
67.9,8.33,
68.9,8.33,
69.9,8.33,
70.9,8.33,
71.9,8.33,
73.0,8.33,
74.0,8.33,
75.0,8.33,
76.0,8.33,
77.0,8.33,
78.0,8.33,
79.0,8.33,
80.1,8.33,
81.1,8.33,
82.1,8.33,
83.1,8.33,
84.1,8.33,
85.1,8.33,
86.1,8.33,
87.1,8.33,
88.1,8.33,
89.1,8.33,
90.2,8.33,
91.2,8.33,
92.2,8.33,
93.2,8.33,
94.2,8.33,
95.3,8.33,
96.3,8.33,
97.3,8.33,
98.3,8.33,
99.3,8.33,
100.3,8.33,
101.3,8.33,
102.3,8.33,
103.3,8.33,
104.4,8.33,
105.4,8.33,
106.4,8.33,
107.4,8.33,
108.4,8.33,
109.4,8.33,
110.4,8.33,
111.4,8.33,
112.4,8.33,
113.5,8.33,
114.5,8.33,
115.5,8.33,
116.5,8.33,
117.5,8.33,
118.5,8.33,
119.5,8.33,
120.5,8.33,
121.6,8.33,
122.6,8.33,
123.6,8.33,
124.6,8.33,
125.6,8.33,
126.6,8.33,
127.6,8.33,
128.6,8.33,
129.7,8.33,
130.7,8.33,
131.7,8.33,
132.7,8.33,
133.7,8.33,
134.7,8.33,
135.7,8.33,
136.7,8.33,
137.8,8.33,
138.8,8.33,
139.8,8.33,
140.8,8.33,
141.8,8.33,
142.9,8.33,
143.9,8.33,
144.9,8.33,
145.9,8.33,
146.9,8.33,
147.9,8.33,
148.9,8.33,
149.9,8.33,
150.9,8.33,
151.9,8.33,
153.0,8.33,
154.0,8.33,
155.0,8.33,
156.0,8.33,
157.0,8.33,
158.0,8.33,
159.0,8.33,
160.0,8.33,
161.1,8.33,
162.1,8.33,
163.1,8.33,
164.1,8.33,
165.1,8.33,
166.1,8.33,
167.1,8.33,
168.1,8.33,
169.2,8.33,
170.2,8.33,
171.2,8.33,
172.2,8.33,
173.2,8.33,
174.2,8.33,
175.2,8.33,
176.2,8.33,
177.2,8.33,
178.3,8.33,
179.3,8.33,
180.3,8.33,
181.3,8.33,
182.3,8.33,
183.3,8.33,
184.3,8.33,
185.3,8.33,
186.4,8.33,
187.4,8.33,
188.4,8.33,
189.4,8.33,
190.4,8.33,
191.4,8.33,
192.4,8.33,
193.4,8.33,
194.4,8.33,
195.5,8.33,
196.5,8.33,
197.5,8.33,
198.5,8.33,
199.5,8.33,
200.5,8.33,
201.5,8.33,
202.5,8.33,
203.5,8.33,
204.6,8.33,
205.6,8.33,
206.6,8.33,
207.6,8.33,
208.6,8.33,
209.6,8.33,
210.6,8.33,
211.6,8.33,
212.7,8.33,
213.7,8.33,
214.7,8.33,
215.7,8.33,
216.7,8.33,
217.7,8.33,
218.8,8.33,
219.8,8.33,
220.8,8.33,
221.8,8.33,
222.8,8.33,
223.8,8.33,
224.8,8.33,
225.8,8.33,
226.9,8.33,
227.9,8.33,
228.9,8.33,
229.9,8.33,
230.9,8.33,
231.9,8.33,
232.9,8.33,
233.9,8.33,
234.9,8.33,
236.0,8.33,
237.0,8.33,
238.0,8.33,
